banned_cell_count,banned_cells,case_name,code_distance,diagnostic_patch_sha256,elapsed_seconds,factory_coordinate_set,factory_count,factory_egress_blocked,factory_egress_blocked_fraction,factory_plus_ban_cell_count,gnu_time_max_rss_kb,gnu_time_swaps,magic_available_factory_count_mean,magic_factory_0_coord,magic_factory_0_use_count,magic_factory_1_coord,magic_factory_1_use_count,magic_factory_2_coord,magic_factory_2_use_count,magic_factory_3_coord,magic_factory_3_use_count,magic_failed_attempts,magic_failure_classical_dependency_wait,magic_failure_condition_wait,magic_failure_factory_egress_blocked,magic_failure_no_magic_stock,magic_failure_other,magic_failure_qubit_busy,magic_failure_route_disconnected,magic_failure_target_access_blocked,magic_max_path_coordinates,magic_mean_path_coordinates,magic_total_stock_mean,magic_total_stock_min,minimum_initial_free_neighbors,molecule,optimized_ir_hash,pf_label,physical_qubits,qasm_hash,qret_core_library_hash,qret_executable_hash,qubit_volume,qubit_volume_change_pct_vs_four_factories,reason_sum_matches,rotation_precision,routing_diagnostic_path,runtime,runtime_change_pct_vs_four_factories,runtime_delta_vs_four_factories,runtime_reduction_pct_vs_previous_count,runtime_topology_overhead,runtime_without_topology,semantic_match,source_cache_key,status,topology_hash,topology_path,trapped_coordinate_free_neighbors,trapped_coordinate_use_count,usable_non_factory_cell_count,weighted_cnot_distance,weighted_cnot_distance_delta_vs_baseline,weighted_nearest_factory_distance,weighted_nearest_factory_distance_delta_vs_baseline,weighted_nearest_factory_distance_mean,fixed_logical_workload_match,expected_architecture_differences_only,magic_demand_count,ideal_magic_supply_runtime,runtime_without_topology_minus_ideal_supply
3,"[[4, 5], [5, 4], [5, 5]]",h4_factory_count_1,15,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,7.283905956894159,"[[4, 4]]",1,136,3.536442125994592e-05,4,382372,0,0.04806489968700159,"4,4",184600,,0,,0,,0,3845673,0,0,136,3658734,0,186803,0,0,13,2.5391549295774647,0.05118291543839291,0,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4th(new_2),43200,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,26330748,205.0580972608345,True,1e-05,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th/diagnostics/h4_factory_count_1.json,2769017,240.1389782872529,1954933,,1,2769016,False,50cb40f83797b2c7,ok,2826a52ab282748b9e6a6dc1283b5e356b9e641508727fd4e0b7fbc533301a8b,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_1.yaml,2,0,96,68660,0,33,8,3.6666666666666665,True,True,184600,2769000,16
2,"[[4, 5], [5, 4]]",h4_factory_count_2,15,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,5.820514053106308,"[[4, 4], [5, 5]]",2,53,5.552575556933805e-05,4,329432,0,0.29509243782928396,"4,4",92300,"5,5",92300,,0,,0,954512,0,0,53,759441,0,195018,0,0,11,3.2577789815817986,0.4021813505858527,0,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4th(new_2),43200,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,14018631,62.41456182945315,True,1e-05,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th/diagnostics/h4_factory_count_2.json,1384520,70.07090177426407,570436,49.999584690162614,1,1384519,False,50cb40f83797b2c7,ok,2bc61bbecfc9d54418b7747f4afc661c850a8f08bf0191a47171f02b65c0f3ad,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_2.yaml,2,0,96,68660,0,29,4,3.2222222222222223,True,True,184600,1384500,19
1,"[[5, 5]]",h4_factory_count_3,13,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,5.496191271580756,"[[4, 4], [4, 5], [5, 4]]",3,52,0.00012352658909830342,4,320312,0,0.9330101181478093,"4,4",61534,"4,5",61533,"5,4",61533,,0,420962,0,0,52,220857,0,200053,0,0,14,2.729339111592633,2.5912026613466037,0,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,9772779,13.223724851669271,True,1e-05,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th/diagnostics/h4_factory_count_3.json,923027,13.382279961281629,108943,33.33234622829573,1,923026,False,50cb40f83797b2c7,ok,1eae22b0af9bd2524e563e0153c80dc88aeaf6140cffd806c5eeaf41099347dd,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_3.yaml,2,0,96,68660,0,27,2,3.0,True,True,184600,923000,26
0,[],h4_factory_count_4,13,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,5.37862572260201,"[[4, 4], [4, 5], [5, 4], [5, 5]]",4,0,0.0,4,309972,0,3.3945933907973256,"4,4",54271,"4,5",54229,"5,4",52709,"5,5",23391,215206,0,0,0,12970,0,202233,1,2,15,1.8459371614301192,8676.103890713812,0,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,8631388,0.0,True,1e-05,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th/diagnostics/h4_factory_count_4.json,814084,0.0,0,11.80279666791979,1,814083,True,50cb40f83797b2c7,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_4.yaml,2,0,96,68660,0,25,0,2.7777777777777777,True,False,184600,692250,121833
3,"[[4, 5], [5, 4], [5, 5]]",h5_factory_count_1,15,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,19.539274351671338,"[[4, 4]]",1,162,1.7628504726289173e-05,4,979216,0,0.051792070613405766,"4,4",475906,,0,,0,,0,9189662,0,0,162,8715841,0,473659,0,0,13,2.836047454749467,0.055477485688772595,0,2,H5,be867c2d23c889f82e0ad84860ad4cefeb908e09452eaa30a2b3a5b04b5e3b4d,4th(new_2),43200,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,82432404,205.80936638243634,True,1e-05,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th/diagnostics/h5_factory_count_1.json,7138609,236.3633450832143,5016318,,1,7138608,False,36f8bb9ebf40ede2,ok,4d3c0ea0fd5727360f542c5dd86b54f9427de53f3031e3d1ed2db30a8d40a4fb,configs/topologies/accessible_factory_count_h4_h7_4th/h5_factory_count_1.yaml,2,0,96,210628,0,45,10,4.090909090909091,True,True,475906,7138590,18
2,"[[4, 5], [5, 4]]",h5_factory_count_2,15,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,15.881266350857913,"[[4, 4], [5, 5]]",2,167,7.175046648544303e-05,4,849524,0,0.3089957333720894,"4,4",237953,"5,5",237953,,0,,0,2327511,0,0,167,1835823,0,491521,0,0,12,3.5410942497047735,0.43489066982251795,0,2,H5,be867c2d23c889f82e0ad84860ad4cefeb908e09452eaa30a2b3a5b04b5e3b4d,4th(new_2),43200,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,43524758,61.46901000156295,True,1e-05,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th/diagnostics/h5_factory_count_2.json,3569317,68.18226152775469,1447026,49.99982489585856,1,3569316,False,36f8bb9ebf40ede2,ok,0a7961255c2aa5f8813da3201207e332f49ab698197653600d1d03eda470b05a,configs/topologies/accessible_factory_count_h4_h7_4th/h5_factory_count_2.yaml,2,0,96,210628,0,41,6,3.727272727272727,True,True,475906,3569295,21
1,"[[5, 5]]",h5_factory_count_3,15,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,15.20819906424731,"[[4, 4], [4, 5], [5, 4]]",3,119,0.00012029898847758092,4,826000,0,1.0120611606293268,"4,4",158636,"4,5",158635,"5,4",158635,,0,989202,0,0,119,485555,0,503509,7,12,16,3.1149554744004067,3.0794520376997063,0,2,H5,be867c2d23c889f82e0ad84860ad4cefeb908e09452eaa30a2b3a5b04b5e3b4d,4th(new_2),43200,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,30240796,12.187904451512965,True,1e-05,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th/diagnostics/h5_factory_count_3.json,2379559,12.122183055952274,257268,33.3329317625753,1,2379558,False,36f8bb9ebf40ede2,ok,5ee3c27fc2907003b60a7c6ad206cf6509115a121a461277d739a52bcfc0eaa3,configs/topologies/accessible_factory_count_h4_h7_4th/h5_factory_count_3.yaml,2,0,96,210628,0,37,2,3.3636363636363638,True,True,475906,2379530,28
0,[],h5_factory_count_4,15,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,14.945522005669773,"[[4, 4], [4, 5], [5, 4], [5, 5]]",4,1,1.8921833904141989e-06,4,821320,0,3.5327963686351342,"4,4",141484,"4,5",138073,"5,4",141480,"5,5",54869,528490,0,0,1,20200,0,508274,1,14,17,2.152137186755368,11780.63908877252,0,2,H5,be867c2d23c889f82e0ad84860ad4cefeb908e09452eaa30a2b3a5b04b5e3b4d,4th(new_2),43200,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,26955487,0.0,True,1e-05,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th/diagnostics/h5_factory_count_4.json,2122291,0.0,0,10.811583154693793,26,2122265,True,36f8bb9ebf40ede2,ok,a1778d35889c9a6ab527710f91a08738f1021edd825501b045c6c862f7fdc76d,configs/topologies/accessible_factory_count_h4_h7_4th/h5_factory_count_4.yaml,2,0,96,210628,0,35,0,3.1818181818181817,True,False,475906,1784648,337617
3,"[[4, 5], [5, 4], [5, 5]]",h6_factory_count_1,17,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,44.28748487867415,"[[4, 4]]",1,1003,4.852833353122055e-05,4,2306608,0,0.04966928434636444,"4,4",1025480,,0,,0,,0,20668338,0,0,1003,19639909,0,1027424,0,2,29,2.9314896438740883,0.05318494363361117,0,2,H6,523b0f82114685895d9f5b9afbdcab89ceb6b664e989851224ded58fcb6f3124,4th(new_2),55488,4f6d34061c9b4702a6a1d6a0107e7b52a7d246e50442fbf35a4d38f33f32ab76,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,208766709,208.0304253339122,True,1e-05,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th/diagnostics/h6_factory_count_1.json,15382217,236.12854517524022,10805927,,1,15382216,False,6aed3bb02388754d,ok,725c388a21a89f564a19bcb344070928c5669d2d1efc0e46d6d10497e24eda6c,configs/topologies/accessible_factory_count_h4_h7_4th/h6_factory_count_1.yaml,2,0,96,529804,0,53,10,4.076923076923077,True,True,1025480,15382200,16
2,"[[4, 5], [5, 4]]",h6_factory_count_2,17,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,36.497688572853804,"[[4, 4], [5, 5]]",2,258,5.172851432097904e-05,4,1795672,0,0.3114218380121826,"4,4",512740,"5,5",512740,,0,,0,4987578,0,0,258,3915048,0,1072242,14,16,19,3.7937726723095526,0.44749895563809705,0,2,H6,523b0f82114685895d9f5b9afbdcab89ceb6b664e989851224ded58fcb6f3124,4th(new_2),55488,4f6d34061c9b4702a6a1d6a0107e7b52a7d246e50442fbf35a4d38f33f32ab76,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,109692931,61.849369345825544,True,1e-05,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th/diagnostics/h6_factory_count_2.json,7691122,68.06456758640734,3114832,49.99991223631808,1,7691121,False,6aed3bb02388754d,ok,7676ca57f0671d3d07baf9a6d412899de8be53816923335f43a110bf7a12dbf2,configs/topologies/accessible_factory_count_h4_h7_4th/h6_factory_count_2.yaml,2,0,96,529804,0,49,6,3.769230769230769,True,True,1025480,7691100,21
