banned_cell_count,banned_cells,case_name,code_distance,diagnostic_patch_sha256,elapsed_seconds,expected_architecture_differences_only,factory_coordinate_set,factory_count,factory_egress_blocked,factory_egress_blocked_fraction,factory_plus_ban_cell_count,fixed_logical_workload_match,gnu_time_max_rss_kb,gnu_time_swaps,ideal_magic_supply_runtime,magic_available_factory_count_mean,magic_demand_count,magic_factory_0_coord,magic_factory_0_use_count,magic_factory_1_coord,magic_factory_1_use_count,magic_factory_2_coord,magic_factory_2_use_count,magic_factory_3_coord,magic_factory_3_use_count,magic_failed_attempts,magic_failure_classical_dependency_wait,magic_failure_condition_wait,magic_failure_factory_egress_blocked,magic_failure_no_magic_stock,magic_failure_other,magic_failure_qubit_busy,magic_failure_route_disconnected,magic_failure_target_access_blocked,magic_max_path_coordinates,magic_mean_path_coordinates,magic_total_stock_mean,magic_total_stock_min,minimum_initial_free_neighbors,molecule,optimized_ir_hash,pf_label,physical_qubits,qasm_hash,qret_core_library_hash,qret_executable_hash,qubit_volume,qubit_volume_change_pct_vs_four_factories,reason_sum_matches,rotation_precision,routing_diagnostic_path,runtime,runtime_change_pct_vs_four_factories,runtime_delta_vs_four_factories,runtime_reduction_pct_vs_previous_count,runtime_topology_overhead,runtime_without_topology,runtime_without_topology_minus_ideal_supply,semantic_match,source_cache_key,status,topology_hash,topology_path,trapped_coordinate_free_neighbors,trapped_coordinate_use_count,usable_non_factory_cell_count,weighted_cnot_distance,weighted_cnot_distance_delta_vs_baseline,weighted_nearest_factory_distance,weighted_nearest_factory_distance_delta_vs_baseline,weighted_nearest_factory_distance_mean
3,"[[4, 5], [5, 4], [5, 5]]",h4_factory_count_1,13,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,1.1910411417484283,True,"[[4, 4]]",1,158,0.0019393641831348962,4,True,96612,0,175740,0.1505651578894014,11716,"4,4",11716,,0,,0,,0,81470,0,0,158,67034,0,14270,0,8,14,3.0476271765107543,75.31100157129099,0,2,H4,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,2082459,17.828262138954653,True,0.01,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th_cheap_rz/diagnostics/h4_factory_count_1.json,182013,24.31732805136262,35603,,3,182010,6270,False,f964909bc189bf5c,ok,2826a52ab282748b9e6a6dc1283b5e356b9e641508727fd4e0b7fbc533301a8b,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_1.yaml,2,0,96,68660,0,33,8,3.6666666666666665
2,"[[4, 5], [5, 4]]",h4_factory_count_2,13,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,1.1886132406070828,True,"[[4, 4], [5, 5]]",2,0,0.0,4,True,96608,0,87870,1.139512780751338,11716,"4,4",7388,"5,5",4328,,0,,0,22890,0,0,0,8269,0,14615,0,6,14,2.4547627176510756,2671.2926817067682,0,2,H4,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1812423,2.549271006377851,True,0.01,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th_cheap_rz/diagnostics/h4_factory_count_2.json,151372,3.3891127655214737,4962,16.83451182058424,1,151371,63501,False,f964909bc189bf5c,ok,2bc61bbecfc9d54418b7747f4afc661c850a8f08bf0191a47171f02b65c0f3ad,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_2.yaml,2,0,96,68660,0,29,4,3.2222222222222223
1,"[[5, 5]]",h4_factory_count_3,13,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,1.1691325837746263,True,"[[4, 4], [4, 5], [5, 4]]",3,0,0.0,4,True,96944,0,58580,2.1548013245033113,11716,"4,4",2906,"4,5",4959,"5,4",3851,,0,18714,0,0,0,3982,0,14726,0,6,15,2.00512120177535,6819.900789607743,0,2,H4,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1781767,0.8147143096401077,True,0.01,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th_cheap_rz/diagnostics/h4_factory_count_3.json,148057,1.1249231609862687,1647,2.1899690827894225,1,148056,89476,False,f964909bc189bf5c,ok,1eae22b0af9bd2524e563e0153c80dc88aeaf6140cffd806c5eeaf41099347dd,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_3.yaml,2,0,96,68660,0,27,2,3.0
0,[],h4_factory_count_4,13,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,1.1416972512379289,False,"[[4, 4], [4, 5], [5, 4], [5, 5]]",4,0,0.0,4,True,96516,0,43935,3.4481041746457297,11716,"4,4",2793,"4,5",3952,"5,4",3059,"5,5",1912,16016,0,0,0,1333,0,14677,0,6,14,1.8575452372823489,12319.402834163157,0,2,H4,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1767368,0.0,True,0.01,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th_cheap_rz/diagnostics/h4_factory_count_4.json,146410,0.0,0,1.1124094098894366,1,146409,102474,True,f964909bc189bf5c,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_4.yaml,2,0,96,68660,0,25,0,2.7777777777777777
3,"[[4, 5], [5, 4], [5, 5]]",h5_factory_count_1,13,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,2.9085373133420944,True,"[[4, 4]]",1,311,0.004215520162656726,4,True,233744,0,284070,0.2704376896280481,18938,"4,4",18938,,0,,0,,0,73775,0,0,311,51939,0,21521,0,4,14,3.313655085014257,1089.6310119114507,0,2,H5,37162f0541135fde24e639924577cc2a512bdf0f6df9e5b9c74dec628cfe102a,4th(new_2),32448,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,5443587,4.5167165513932295,True,0.01,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th_cheap_rz/diagnostics/h5_factory_count_1.json,384263,6.058590386186502,21951,,13,384250,100180,False,8557d3f4c12c6eeb,ok,4d3c0ea0fd5727360f542c5dd86b54f9427de53f3031e3d1ed2db30a8d40a4fb,configs/topologies/accessible_factory_count_h4_h7_4th/h5_factory_count_1.yaml,2,0,96,210628,0,45,10,4.090909090909091
2,"[[4, 5], [5, 4]]",h5_factory_count_2,13,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,2.9205768816173077,True,"[[4, 4], [5, 5]]",2,0,0.0,4,True,233820,0,142035,1.234647143382476,18938,"4,4",12149,"5,5",6789,,0,,0,32721,0,0,0,10959,0,21746,10,6,15,2.8288098004013094,8611.265570153446,0,2,H5,37162f0541135fde24e639924577cc2a512bdf0f6df9e5b9c74dec628cfe102a,4th(new_2),32448,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,5291197,1.5908328582940223,True,0.01,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th_cheap_rz/diagnostics/h5_factory_count_2.json,369614,2.0153900505641476,7302,3.8122327676617274,1,369613,227578,False,8557d3f4c12c6eeb,ok,0a7961255c2aa5f8813da3201207e332f49ab698197653600d1d03eda470b05a,configs/topologies/accessible_factory_count_h4_h7_4th/h5_factory_count_2.yaml,2,0,96,210628,0,41,6,3.727272727272727
1,"[[5, 5]]",h5_factory_count_3,13,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,2.9883674681186676,True,"[[4, 4], [4, 5], [5, 4]]",3,0,0.0,4,True,234048,0,94690,2.2911608893338338,18938,"4,4",4199,"4,5",6552,"5,4",8187,,0,26890,0,0,0,5014,0,21855,5,16,14,2.3374696377653397,17521.0451758228,0,2,H5,37162f0541135fde24e639924577cc2a512bdf0f6df9e5b9c74dec628cfe102a,4th(new_2),32448,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,5234658,0.5052856562195229,True,0.01,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th_cheap_rz/diagnostics/h5_factory_count_3.json,364739,0.6698646470445269,2427,1.318943546510687,1,364738,270048,False,8557d3f4c12c6eeb,ok,5ee3c27fc2907003b60a7c6ad206cf6509115a121a461277d739a52bcfc0eaa3,configs/topologies/accessible_factory_count_h4_h7_4th/h5_factory_count_3.yaml,2,0,96,210628,0,37,2,3.3636363636363638
0,[],h5_factory_count_4,13,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,2.926820977590978,False,"[[4, 4], [4, 5], [5, 4], [5, 5]]",4,0,0.0,4,True,233392,0,71018,3.6210260473407945,18938,"4,4",4033,"4,5",5057,"5,4",7117,"5,5",2731,23094,0,0,0,1235,0,21838,5,16,14,2.1955855950997996,28461.731900564526,0,2,H5,37162f0541135fde24e639924577cc2a512bdf0f6df9e5b9c74dec628cfe102a,4th(new_2),32448,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,5208341,0.0,True,0.01,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th_cheap_rz/diagnostics/h5_factory_count_4.json,362312,0.0,0,0.6654073186579956,1,362311,291293,True,8557d3f4c12c6eeb,ok,a1778d35889c9a6ab527710f91a08738f1021edd825501b045c6c862f7fdc76d,configs/topologies/accessible_factory_count_h4_h7_4th/h5_factory_count_4.yaml,2,0,96,210628,0,35,0,3.1818181818181817
3,"[[4, 5], [5, 4], [5, 5]]",h6_factory_count_1,15,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,6.227086187340319,True,"[[4, 4]]",1,73,0.0008159068301460808,4,True,502824,0,259950,0.1997366763981911,17330,"4,4",17330,,0,,0,,0,89471,0,0,73,69899,0,19456,0,43,20,3.47466820542412,1466.62139790486,0,2,H6,abc66fbd6086523edeb4a89160b6962b2d8c530e36a4c66c572dc77569acc3c7,4th(new_2),43200,4f6d34061c9b4702a6a1d6a0107e7b52a7d246e50442fbf35a4d38f33f32ab76,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,12451814,3.345199285669165,True,0.01,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th_cheap_rz/diagnostics/h6_factory_count_1.json,746141,4.663373058622855,33245,,3,746138,486188,False,596f1aabdd3d6ec2,ok,725c388a21a89f564a19bcb344070928c5669d2d1efc0e46d6d10497e24eda6c,configs/topologies/accessible_factory_count_h4_h7_4th/h6_factory_count_1.yaml,2,0,96,529804,0,53,10,4.076923076923077
2,"[[4, 5], [5, 4]]",h6_factory_count_2,15,65180e945107e8f68eda3fea8561655a1f9dc5e0ff3f349065d1c0585bcf722c,6.206857602111995,True,"[[4, 4], [5, 5]]",2,2,5.6252461045170726e-05,4,True,502836,0,129975,1.0009942454279774,17330,"4,4",11962,"5,5",5368,,0,,0,35554,0,0,2,15835,0,19693,0,24,15,3.1070975187536063,8131.687174233979,0,2,H6,abc66fbd6086523edeb4a89160b6962b2d8c530e36a4c66c572dc77569acc3c7,4th(new_2),43200,4f6d34061c9b4702a6a1d6a0107e7b52a7d246e50442fbf35a4d38f33f32ab76,f833e2b5dc5f8449ea8522d71699e209c6c3c94638333c6d930f4d6475eefd90,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,12185667,1.1362829981079292,True,0.01,artifacts/surface_code_accessible_factory_count_sweep_h4_h7_4th_cheap_rz/diagnostics/h6_factory_count_2.json,723822,1.5326218691085414,10926,2.9912576845395167,1,723821,593846,False,596f1aabdd3d6ec2,ok,7676ca57f0671d3d07baf9a6d412899de8be53816923335f43a110bf7a12dbf2,configs/topologies/accessible_factory_count_h4_h7_4th/h6_factory_count_2.yaml,2,0,96,529804,0,49,6,3.769230769230769
