experiment,molecule,rotation_precision,condition,baseline_condition,code_distance,baseline_code_distance,runtime_change_pct,code_distance_change_pct,physical_runtime_change_pct,qubit_volume_change_pct,physical_minus_beat_percentage_points
accessible_factory_count_1e-5,H4,1e-05,1,4,15,13,240.1389782872529,15.384615384615374,292.4680518699072,205.0580972608345,52.329073582654274
accessible_factory_count_1e-5,H4,1e-05,2,4,15,13,70.07090177426407,15.384615384615374,96.23565589338163,62.41456182945315,26.16475411911756
accessible_factory_count_1e-5,H4,1e-05,3,4,13,13,13.382279961281629,0.0,13.382279961281629,13.223724851669271,0.0
accessible_factory_count_1e-5,H5,1e-05,1,4,15,15,236.3633450832143,0.0,236.3633450832143,205.80936638243634,0.0
accessible_factory_count_1e-5,H5,1e-05,2,4,15,15,68.18226152775469,0.0,68.18226152775469,61.46901000156295,0.0
accessible_factory_count_1e-5,H5,1e-05,3,4,15,15,12.122183055952274,0.0,12.122183055952274,12.187904451512965,0.0
accessible_factory_count_1e-5,H6,1e-05,1,4,17,15,236.12854517524022,13.33333333333333,280.9456845319389,208.0304253339122,44.8171393566987
accessible_factory_count_1e-5,H6,1e-05,2,4,17,15,68.06456758640734,13.33333333333333,90.4731765979283,61.849369345825544,22.408609011520966
accessible_factory_count_1e-5,H6,1e-05,3,4,15,15,12.04331456266976,0.0,12.04331456266976,11.841655553375773,0.0
accessible_factory_count_1e-5,H7,1e-05,1,4,17,17,233.37025598250617,0.0,233.37025598250617,209.91760574257134,0.0
accessible_factory_count_1e-5,H7,1e-05,2,4,17,17,66.68526888871355,0.0,66.68526888871355,61.52277254948015,0.0
accessible_factory_count_1e-5,H7,1e-05,3,4,17,17,11.123674154897035,0.0,11.123674154897035,11.476831080256321,0.0
accessible_factory_count_1e-2,H4,1e-02,1,4,13,13,24.31732805136262,0.0,24.31732805136262,17.828262138954653,0.0
accessible_factory_count_1e-2,H4,1e-02,2,4,13,13,3.3891127655214737,0.0,3.3891127655214737,2.549271006377851,0.0
accessible_factory_count_1e-2,H4,1e-02,3,4,13,13,1.1249231609862687,0.0,1.1249231609862687,0.8147143096401077,0.0
accessible_factory_count_1e-2,H5,1e-02,1,4,13,13,6.058590386186502,0.0,6.058590386186502,4.5167165513932295,0.0
accessible_factory_count_1e-2,H5,1e-02,2,4,13,13,2.0153900505641476,0.0,2.0153900505641476,1.5908328582940223,0.0
accessible_factory_count_1e-2,H5,1e-02,3,4,13,13,0.6698646470445269,0.0,0.6698646470445269,0.5052856562195229,0.0
accessible_factory_count_1e-2,H6,1e-02,1,4,15,15,4.663373058622855,0.0,4.663373058622855,3.345199285669165,0.0
accessible_factory_count_1e-2,H6,1e-02,2,4,15,15,1.5326218691085414,0.0,1.5326218691085414,1.1362829981079292,0.0
accessible_factory_count_1e-2,H6,1e-02,3,4,15,15,0.48969274620702663,0.0,0.48969274620702663,0.3598544879186205,0.0
accessible_factory_count_1e-2,H7,1e-02,1,4,15,15,3.205840056512943,0.0,3.205840056512943,2.3976718930847296,0.0
accessible_factory_count_1e-2,H7,1e-02,2,4,15,15,1.039341875216926,0.0,1.039341875216926,0.7837697057880622,0.0
accessible_factory_count_1e-2,H7,1e-02,3,4,15,15,0.3176328057973299,0.0,0.3176328057973299,0.25251837178441594,0.0
factory_saturation,H4,1e-05,6,4,13,13,-0.06645497706013748,0.0,-0.06645497706013748,-5.134234056183451,0.0
factory_saturation,H4,1e-05,8,4,13,13,-0.0970414637292194,0.0,-0.0970414637292194,-5.619537504620819,0.0
factory_saturation,H4,1e-02,6,4,13,13,-0.4500874221396556,0.0,-0.4500874221396556,-0.8088548084156599,0.0
factory_saturation,H4,1e-02,8,4,13,13,-0.4500874221396556,0.0,-0.4500874221396556,-1.069869800680956,0.0
factory_saturation,H5,1e-05,6,4,15,15,-0.027941476506776475,0.0,-0.027941476506776475,-3.071110875966254,0.0
factory_saturation,H5,1e-05,8,4,15,15,-0.04094627838852061,0.0,-0.04094627838852061,-3.4864569055512384,0.0
factory_saturation,H5,1e-02,6,4,13,13,-0.16974320475170446,0.0,-0.16974320475170446,-0.47396189249988563,0.0
factory_saturation,H5,1e-02,8,4,13,13,-0.16974320475170446,0.0,-0.16974320475170446,-0.6226832919792868,0.0
factory_saturation,H6,1e-05,6,4,15,15,-0.06912554115580116,0.0,-0.06912554115580116,-3.8249002286154243,0.0
factory_saturation,H6,1e-05,8,4,15,15,-0.07519723165858583,0.0,-0.07519723165858583,-4.3135456453508025,0.0
factory_saturation,H6,1e-02,6,4,15,15,-0.4344179805434445,0.0,-0.4344179805434445,-0.4687374788956755,0.0
factory_saturation,H6,1e-02,8,4,15,15,-0.4344179805434445,0.0,-0.4344179805434445,-0.5154248661626837,0.0
magic_period_1e-2,H4,1e-02,1,15,13,13,-0.45693600163922987,0.0,-0.45693600163922987,-0.34248668075919086,0.0
magic_period_1e-2,H4,1e-02,4,15,13,13,-0.45488696127313766,0.0,-0.45488696127313766,-0.34180770501672786,0.0
