allocate_entanglement_factory_count,case_name,cnot_count_after_routing,code_distance,compile_info_path,elapsed_seconds,entanglement_consumption_count,entanglement_consumption_depth,entanglement_consumption_rate_ave,entanglement_consumption_rate_peak,entanglement_count_minus_static_cut,entanglement_factory_count,entanglement_factory_endpoint_count_topology,entanglement_generation_period,entanglement_link_count,gate_count,gate_depth,gnu_time_max_rss_kb,gnu_time_swaps,lattice_surgery_multinode_count,logical_qubits_by_plane,machine_type,magic_factory_count,magic_factory_count_topology,magic_state_consumption_count,magic_state_consumption_depth,maximum_entangled_state_stock,measurement_feedback_count,measurement_feedback_depth,molecule,move_entanglement_count,optimized_ir_hash,partition,period_invariant_workload_match,pf_label,physical_qubits,plane_count,plane_size,qasm_hash,qret_core_library_hash,qret_executable_hash,qubit_volume,qubit_volume_change_pct_vs_period_1,rotation_precision,runtime,runtime_change_pct_high_vs_low,runtime_change_pct_vs_period_1,runtime_delta_vs_period_1,runtime_estimation_entanglement_consumption_count,runtime_estimation_entanglement_consumption_depth,runtime_minus_entanglement_count_estimate,runtime_topology_overhead,runtime_without_topology,source_cache_key,source_compile_yaml,source_logical_workload_match,status,topology_hash,topology_path,total_logical_cells,usable_non_factory_cells,weighted_interplane_cnot_count,weighted_interplane_cnot_fraction,weighted_local_and_endpoint_distance
1,h4_p1e-05_low_cut_e1,7648,15,artifacts/surface_code_distributed_dim2_sweep_h4_h7_4th_paired/compile_info/h4_p1e-05_low_cut_e1.json,15.661015463992953,7480,6185,0.013608907648642749,2,0,1,2,1,1,1027831,386583,380228,0,199560,"{""0"": [0, 1, 2, 8], ""2"": [3, 4, 5, 6, 7]}",DistributedDim2,4,4,184600,136710,10000,184600,136710,H4,0,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,low_cut,True,4th(new_2),87300,2,"[10, 10]",8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,11785036,0.0,1e-05,1099280,15.966996579579362,0.0,0,7480,6185,1091800,406905,692375,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,True,ok,022de325b6e2de18f66f577352a5329985b4ab13db4b30ff5de82d415b44e2fe,configs/topologies/distributed_dim2_h4_h7_4th/h4_low_cut.yaml,200,194,7480,0.4944473823373876,156760
1,h4_p1e-05_low_cut_e15,7648,15,artifacts/surface_code_distributed_dim2_sweep_h4_h7_4th_paired/compile_info/h4_p1e-05_low_cut_e15.json,15.64398290310055,7480,6185,0.013608907648642749,2,0,1,2,15,1,1027831,386583,384460,0,199560,"{""0"": [0, 1, 2, 8], ""2"": [3, 4, 5, 6, 7]}",DistributedDim2,4,4,184600,136710,10000,184600,136710,H4,0,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,low_cut,True,4th(new_2),87300,2,"[10, 10]",8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,11785036,0.0,1e-05,1099280,15.966996579579362,0.0,0,112200,92775,987080,406905,692375,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,True,ok,022de325b6e2de18f66f577352a5329985b4ab13db4b30ff5de82d415b44e2fe,configs/topologies/distributed_dim2_h4_h7_4th/h4_low_cut.yaml,200,194,7480,0.4944473823373876,156760
1,h4_p1e-05_low_cut_e100,7648,15,artifacts/surface_code_distributed_dim2_sweep_h4_h7_4th_paired/compile_info/h4_p1e-05_low_cut_e100.json,15.83610731177032,7480,6185,0.013608907648642749,2,0,1,2,100,1,1027831,386583,384576,0,199560,"{""0"": [0, 1, 2, 8], ""2"": [3, 4, 5, 6, 7]}",DistributedDim2,4,4,184600,136710,10000,184600,136710,H4,0,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,low_cut,True,4th(new_2),87300,2,"[10, 10]",8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,11785036,0.0,1e-05,1099280,15.966996579579362,0.0,0,748000,618500,351280,349454,749826,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,True,ok,022de325b6e2de18f66f577352a5329985b4ab13db4b30ff5de82d415b44e2fe,configs/topologies/distributed_dim2_h4_h7_4th/h4_low_cut.yaml,200,194,7480,0.4944473823373876,156760
1,h4_p1e-05_high_cut_e1,4876,15,artifacts/surface_code_distributed_dim2_sweep_h4_h7_4th_paired/compile_info/h4_p1e-05_high_cut_e1.json,19.63067733682692,10252,7455,0.016084066388348937,2,0,1,2,1,1,1030603,361144,418388,0,205104,"{""0"": [0, 1, 2, 4], ""2"": [3, 5, 6, 7, 8]}",DistributedDim2,4,4,184600,126356,10000,184600,126356,H4,0,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,high_cut,True,4th(new_2),87300,2,"[10, 10]",8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,13430758,0.0,1e-05,1274802,15.966996579579362,0.0,0,10252,7455,1264550,582485,692317,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,True,ok,8ddfa19307fa8c434f91c84a22bcc9846935563062e6adc9fd4c12a2fa8629fe,configs/topologies/distributed_dim2_h4_h7_4th/h4_high_cut.yaml,200,194,10252,0.677683765203596,194784
1,h4_p1e-05_high_cut_e15,4876,15,artifacts/surface_code_distributed_dim2_sweep_h4_h7_4th_paired/compile_info/h4_p1e-05_high_cut_e15.json,19.204591650515795,10252,7455,0.016084066388348937,2,0,1,2,15,1,1030603,361144,417976,0,205104,"{""0"": [0, 1, 2, 4], ""2"": [3, 5, 6, 7, 8]}",DistributedDim2,4,4,184600,126356,10000,184600,126356,H4,0,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,high_cut,True,4th(new_2),87300,2,"[10, 10]",8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,13430758,0.0,1e-05,1274802,15.966996579579362,0.0,0,153780,111825,1121022,582485,692317,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,True,ok,8ddfa19307fa8c434f91c84a22bcc9846935563062e6adc9fd4c12a2fa8629fe,configs/topologies/distributed_dim2_h4_h7_4th/h4_high_cut.yaml,200,194,10252,0.677683765203596,194784
1,h4_p1e-05_high_cut_e100,4876,15,artifacts/surface_code_distributed_dim2_sweep_h4_h7_4th_paired/compile_info/h4_p1e-05_high_cut_e100.json,19.48241134081036,10252,7455,0.016084066388348937,2,0,1,2,100,1,1030603,361144,418460,0,205104,"{""0"": [0, 1, 2, 4], ""2"": [3, 5, 6, 7, 8]}",DistributedDim2,4,4,184600,126356,10000,184600,126356,H4,0,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,high_cut,True,4th(new_2),87300,2,"[10, 10]",8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,13430758,0.0,1e-05,1274802,15.966996579579362,0.0,0,1025200,745500,249602,249094,1025708,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,True,ok,8ddfa19307fa8c434f91c84a22bcc9846935563062e6adc9fd4c12a2fa8629fe,configs/topologies/distributed_dim2_h4_h7_4th/h4_high_cut.yaml,200,194,10252,0.677683765203596,194784
1,h4_p1e-02_low_cut_e1,7648,13,artifacts/surface_code_distributed_dim2_sweep_h4_h7_4th_paired/compile_info/h4_p1e-02_low_cut_e1.json,1.6177305430173874,7480,6185,0.10757017947537965,2,0,1,2,1,1,241124,55343,96560,0,26676,"{""0"": [0, 1, 2, 8], ""2"": [3, 4, 5, 6, 7]}",DistributedDim2,4,4,11716,6168,10000,11716,6168,H4,0,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,low_cut,True,4th(new_2),65572,2,"[10, 10]",8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1765980,0.0,0.01,139072,-0.8434479981592302,0.0,0,7480,6185,131592,37289,101783,f964909bc189bf5c,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/f964909bc189bf5c/compile.yaml,True,ok,022de325b6e2de18f66f577352a5329985b4ab13db4b30ff5de82d415b44e2fe,configs/topologies/distributed_dim2_h4_h7_4th/h4_low_cut.yaml,200,194,7480,0.4944473823373876,156760
1,h4_p1e-02_low_cut_e15,7648,13,artifacts/surface_code_distributed_dim2_sweep_h4_h7_4th_paired/compile_info/h4_p1e-02_low_cut_e15.json,1.6183141134679317,7480,6185,0.10757017947537965,2,0,1,2,15,1,241124,55343,96392,0,26676,"{""0"": [0, 1, 2, 8], ""2"": [3, 4, 5, 6, 7]}",DistributedDim2,4,4,11716,6168,10000,11716,6168,H4,0,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,low_cut,True,4th(new_2),65572,2,"[10, 10]",8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1765980,0.0,0.01,139072,12.744477680625854,0.0,0,112200,92775,26872,25527,113545,f964909bc189bf5c,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/f964909bc189bf5c/compile.yaml,True,ok,022de325b6e2de18f66f577352a5329985b4ab13db4b30ff5de82d415b44e2fe,configs/topologies/distributed_dim2_h4_h7_4th/h4_low_cut.yaml,200,194,7480,0.4944473823373876,156760
1,h4_p1e-02_low_cut_e100,7648,13,artifacts/surface_code_distributed_dim2_sweep_h4_h7_4th_paired/compile_info/h4_p1e-02_low_cut_e100.json,2.6445149313658476,7480,6185,0.019994012488238816,2,0,1,2,100,1,241124,55343,117192,0,26676,"{""0"": [0, 1, 2, 8], ""2"": [3, 4, 5, 6, 7]}",DistributedDim2,4,4,11716,6168,10000,11716,6168,H4,0,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,low_cut,True,4th(new_2),65572,2,"[10, 10]",8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,7246429,310.3347150024349,0.01,748224,37.031290094944836,438.0119650253106,609152,748000,618500,224,38,748186,f964909bc189bf5c,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/f964909bc189bf5c/compile.yaml,True,ok,022de325b6e2de18f66f577352a5329985b4ab13db4b30ff5de82d415b44e2fe,configs/topologies/distributed_dim2_h4_h7_4th/h4_low_cut.yaml,200,194,7480,0.4944473823373876,156760
1,h4_p1e-02_high_cut_e1,4876,13,artifacts/surface_code_distributed_dim2_sweep_h4_h7_4th_paired/compile_info/h4_p1e-02_high_cut_e1.json,1.8180089928209782,10252,7455,0.14868853291176876,2,0,1,2,1,1,243896,53129,96476,0,32220,"{""0"": [0, 1, 2, 4], ""2"": [3, 5, 6, 7, 8]}",DistributedDim2,4,4,11716,4832,10000,11716,4832,H4,0,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,high_cut,True,4th(new_2),65572,2,"[10, 10]",8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1783191,0.0,0.01,137899,-0.8434479981592302,0.0,0,10252,7455,127647,39076,98823,f964909bc189bf5c,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/f964909bc189bf5c/compile.yaml,True,ok,8ddfa19307fa8c434f91c84a22bcc9846935563062e6adc9fd4c12a2fa8629fe,configs/topologies/distributed_dim2_h4_h7_4th/h4_high_cut.yaml,200,194,10252,0.677683765203596,194784
