molecule,pf_label,topology_variant,factory_count_condition,m0_label,m0_coordinate,factory_coordinate_set,magic_factory_mapping_count,used_magic_factory_symbols_mapping_only,used_magic_factory_coordinates_mapping_only,magic_count_by_factory_symbol_mapping_only,magic_count_by_factory_coordinate_mapping_only,magic_delivery_distance_mean_mapping_only,magic_delivery_distance_max_mapping_only,nearest_magic_distance_mean,nearest_magic_distance_max,cnot_distance_mean,cnot_distance_max,chip_cell_active_qubit_area_ave,chip_cell_active_qubit_area_peak,runtime_with_topology,qubit_volume,chip_cells,physical_qubits,code_distance,qret_compile_elapsed_sec,qret_compile_peak_rss_kb,qret_mapping_elapsed_sec,qret_mapping_peak_rss_kb,qret_peak_rss_kb,compile_cache_hit,mapping_result_json,compile_info_json,stage_metrics_json
H4,4th(new_2),m0_only_left,m0_only,left,"(0,0)","(0,0)",1,0,"(0,0)","{""0"":184600}","{""0,0,0"":184600}",13.82353196099675,16,11.11111111111111,16,4.985193019566367,12,10.205285846926905,41,2769017,28258610,99,44550,15,7.3670789347961545,382680,5.085906985215843,2970104,2970104,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/5f417e106ea955c7/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/5f417e106ea955c7/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/5f417e106ea955c7/compile_stage_metrics.json
H4,4th(new_2),four_factory_m0_left,four_factory,left,"(0,0)","(0,0);(4,4);(9,0);(9,9)",4,0,"(0,0)","{""0"":184600}","{""0,0,0"":184600}",12.239263271939329,14,3.3333333333333335,4,5.601269169751454,12,11.37934046118091,41,814084,9263739,96,32448,13,5.481618694961071,310684,5.016254154033959,2969744,2969744,True,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/5e3d081c24ca3f10/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/5e3d081c24ca3f10/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/5e3d081c24ca3f10/compile_stage_metrics.json
H4,4th(new_2),m0_only_center,m0_only,center,"(4,4)","(4,4)",1,0,"(4,4)","{""0"":184600}","{""4,4,0"":184600}",6.127930660888407,8,5.333333333333333,8,4.985193019566367,12,9.713557554901252,33,2769017,26897006,99,44550,15,7.415403304621577,383016,5.106532274745405,2969792,2969792,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/46d1742cbc287f33/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/46d1742cbc287f33/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/46d1742cbc287f33/compile_stage_metrics.json
H4,4th(new_2),four_factory_m0_center,four_factory,center,"(4,4)","(0,0);(4,4);(9,0);(9,9)",4,0,"(4,4)","{""0"":184600}","{""4,4,0"":184600}",5.105308775731311,6,3.3333333333333335,4,5.601269169751454,12,11.37933063418517,41,814084,9263731,96,32448,13,5.5289794616401196,311488,5.1064860466867685,2969944,2969944,True,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/084c78e39240ec88/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/084c78e39240ec88/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/084c78e39240ec88/compile_stage_metrics.json
H4,4th(new_2),m0_only_right,m0_only,right,"(9,0)","(9,0)",1,0,"(9,0)","{""0"":184600}","{""9,0,0"":184600}",7.669599133261105,13,8.11111111111111,13,5.401903754627181,10,9.793001631987092,33,2769017,27116988,99,44550,15,7.476273091509938,383620,5.191148864105344,2969876,2969876,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/688d356a573822f0/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/688d356a573822f0/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/688d356a573822f0/compile_stage_metrics.json
H4,4th(new_2),four_factory_m0_right,four_factory,right,"(9,0)","(0,0);(4,4);(9,0);(9,9)",4,0,"(9,0)","{""0"":184600}","{""9,0,0"":184600}",6.700498374864572,13,3.3333333333333335,4,5.601269169751454,12,11.37934046118091,41,814084,9263739,96,32448,13,5.4668889148160815,310756,4.9699760200455785,2969708,2969708,True,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/4dff716a3b1edbf8/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/4dff716a3b1edbf8/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/4dff716a3b1edbf8/compile_stage_metrics.json
H4,4th(new_2),m0_only_far_corner,m0_only,far_corner,"(9,9)","(9,9)",1,0,"(9,9)","{""0"":184600}","{""9,9,0"":184600}",5.645373781148429,12,7.777777777777778,12,5.58011634056055,12,9.659183385295215,31,2769017,26746443,99,44550,15,7.394414926879108,383816,5.0665997210890055,2969676,2969676,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/4ebad0d14f296743/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/4ebad0d14f296743/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/4ebad0d14f296743/compile_stage_metrics.json
H4,4th(new_2),four_factory_m0_far_corner,four_factory,far_corner,"(9,9)","(0,0);(4,4);(9,0);(9,9)",4,0,"(9,9)","{""0"":184600}","{""9,9,0"":184600}",5.760736728060672,16,3.3333333333333335,4,5.601269169751454,12,11.380168385572006,41,814084,9264413,96,32448,13,5.5352105144411325,310616,5.05390802398324,2969944,2969944,True,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/e977c73764d911a7/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/e977c73764d911a7/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/e977c73764d911a7/compile_stage_metrics.json
H5,4th(new_2),m0_only_left,m0_only,left,"(0,0)","(0,0)",1,0,"(0,0)","{""0"":475906}","{""0,0,0"":475906}",13.151756859547893,16,9.636363636363637,16,6.607220216606498,14,12.204998480796469,47,7138609,87126712,99,44550,15,20.004241198301315,1090004,12.402165691368282,7731684,7731684,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/8b72aa136eca7123/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/8b72aa136eca7123/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/8b72aa136eca7123/compile_stage_metrics.json
H5,4th(new_2),four_factory_m0_left,four_factory,left,"(0,0)","(0,0);(4,4);(9,0);(9,9)",4,0,"(0,0)","{""0"":475906}","{""0,0,0"":475906}",11.39658672090707,14,4.0,8,6.952527075812275,14,13.277999524100089,55,2122295,28179832,96,43200,15,15.15791304409504,825508,12.420732994563878,7732048,7732048,True,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/e5d028f292b14690/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/e5d028f292b14690/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/e5d028f292b14690/compile_stage_metrics.json
