status,compiled_circuit_scope,qpe_scaling_model,molecule,num_logical_qubits,num_system_qubits,num_control_qubits,pf_label,step_time,base_step_time,effective_evolution_time,qpe_power_k,time_multiplier,qasm_hash,optimized_ir_hash,rotation_precision,step_rz_count,step_rz_layer,step_rz_depth,step_magic_state_count,step_magic_state_depth,pf_error_coefficient,pf_order,qpe_target_error,qpe_effective_block_count,qpe_action_count,case_name,topology_name,topology_path,topology_hash,mapping_result_json,mapping_result_hash,mapping_result_unavailable_reason,machine_type,magic_generation_period,resolved_maximum_magic_state_stock,stock_policy,entanglement_generation_period,maximum_entangled_state_stock,reaction_time,compile_mode,compiler_executable_path,compiler_executable_hash,cache_key,compile_cache_hit,runtime_without_topology,runtime_without_topology_unavailable_reason,runtime_with_topology,runtime_with_topology_unavailable_reason,runtime_difference_vs_topology_free,runtime_difference_vs_topology_free_unavailable_reason,chip_cells,chip_cells_unavailable_reason,qubit_volume,qubit_volume_unavailable_reason,physical_qubits,physical_qubits_unavailable_reason,code_distance,code_distance_unavailable_reason,failure_probability,failure_probability_unavailable_reason,compile_elapsed_time,compile_elapsed_time_unavailable_reason,peak_process_memory,peak_process_memory_unavailable_reason,total_magic_state_count,total_magic_state_depth,total_runtime_without_topology,total_runtime_without_topology_unavailable_reason,total_runtime_with_topology,total_runtime_with_topology_unavailable_reason,total_runtime_difference_vs_topology_free,total_runtime_difference_vs_topology_free_unavailable_reason,total_qubit_volume,total_qubit_volume_unavailable_reason,error_type,error_message
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1e-05,51555,459,17423,184600,173748,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,m0_only_left,m0_only_left,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/factory_m0_only_left.yaml,8f736957bf8538deee9c6a842dbbec982f91f64d20319732384bc13a92af62e7,/home/abe/Project/Evaluation_grouped_surface_code/artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/5f417e106ea955c7/mapping.json,f382436c749ae7c0819bcabaeb4f117c432ede4dd4856e2630e151b98efa076f,,Dim2,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,5f417e106ea955c7,False,2769016,,2769017,,1,,99,,28258610,,44550,,15,,,missing_in_compile_info,7.367893702350557,,,not_collected,2018231800,1899586884,30273651928,,30273662861,,10933,,308951383130,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1e-05,51555,459,17423,184600,173748,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,m0_only_center,m0_only_center,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/factory_m0_only_center.yaml,0449fefa9ec03a69281c8d9aeeb40fd06fd2c12fb576200db4bd37bfc1029592,/home/abe/Project/Evaluation_grouped_surface_code/artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/46d1742cbc287f33/mapping.json,76b43c9b3ea7a30b07dfe92cf9123cabcab484689eedcf3959a21d001d9135c5,,Dim2,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,46d1742cbc287f33,False,2769016,,2769017,,1,,99,,26897006,,44550,,15,,,missing_in_compile_info,7.415835035964847,,,not_collected,2018231800,1899586884,30273651928,,30273662861,,10933,,294064966598,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1e-05,51555,459,17423,184600,173748,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,m0_only_right,m0_only_right,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/factory_m0_only_right.yaml,e6b4e1c42cdf2b792dd8935260d75ad6067eed6df8d82c07c80be1c1d7be9e03,/home/abe/Project/Evaluation_grouped_surface_code/artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/688d356a573822f0/mapping.json,edce4b5174bf828c1ecfcb7b3b41a5848c6c49c4cc309a9298344db6c575f2fc,,Dim2,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,688d356a573822f0,False,2769016,,2769017,,1,,99,,27116988,,44550,,15,,,missing_in_compile_info,7.4767479710280895,,,not_collected,2018231800,1899586884,30273651928,,30273662861,,10933,,296470029804,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1e-05,51555,459,17423,184600,173748,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,m0_only_far_corner,m0_only_far_corner,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/factory_m0_only_far_corner.yaml,b64e7baf1a6705644dfaa1e20ae43a3b137b8dde653d280c6ae6af2adc4262aa,/home/abe/Project/Evaluation_grouped_surface_code/artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/4ebad0d14f296743/mapping.json,ff98ffeb83fd09d58e26381e59f966c14883cdcea74b827497e6ad4e5ed06ebf,,Dim2,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,4ebad0d14f296743,False,2769016,,2769017,,1,,99,,26746443,,44550,,15,,,missing_in_compile_info,7.3948466358706355,,,not_collected,2018231800,1899586884,30273651928,,30273662861,,10933,,292418861319,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1e-05,51555,459,17423,184600,173748,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,four_factory_m0_left,four_factory_m0_left,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/factory_symbol_perm_m0_left.yaml,18e6026ddfda6bab240cda584033a32531cf223facf9b24c1e8bc242a7dfae1a,/home/abe/Project/Evaluation_grouped_surface_code/artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/5e3d081c24ca3f10/mapping.json,9bb6ae3a56eec0ca4e7a936505a583bcec52a1000fd6afc6816d645fe96aea2d,,Dim2,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,5e3d081c24ca3f10,True,814083,,814084,,1,,96,,9263739,,32448,,13,,,missing_in_compile_info,6.747990846633911e-05,,,not_collected,2018231800,1899586884,8900369439,,8900380372,,10933,,101280458487,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1e-05,51555,459,17423,184600,173748,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,four_factory_m0_center,four_factory_m0_center,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/factory_symbol_perm_m0_center.yaml,ea9184b7380ebafb77e71511b4985a1b0d3cfc6dd027f2fa236ec334e6afa738,/home/abe/Project/Evaluation_grouped_surface_code/artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/084c78e39240ec88/mapping.json,0dc06993416eca1d32bce855d58f0853abf417d62b485edd53700e0cbffd175e,,Dim2,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,084c78e39240ec88,True,814083,,814084,,1,,96,,9263731,,32448,,13,,,missing_in_compile_info,0.00010851491242647171,,,not_collected,2018231800,1899586884,8900369439,,8900380372,,10933,,101280371023,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1e-05,51555,459,17423,184600,173748,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,four_factory_m0_right,four_factory_m0_right,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/factory_symbol_perm_m0_right.yaml,88c400f7bd111fe72a14774a0f14728a48ae3d56677714002fd7cebba21092fb,/home/abe/Project/Evaluation_grouped_surface_code/artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/4dff716a3b1edbf8/mapping.json,d612a9f5110257eee8e2b8762e5a26808e20ae3711390b3984c037821e9d1d71,,Dim2,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,4dff716a3b1edbf8,True,814083,,814084,,1,,96,,9263739,,32448,,13,,,missing_in_compile_info,0.00010454840958118439,,,not_collected,2018231800,1899586884,8900369439,,8900380372,,10933,,101280458487,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1e-05,51555,459,17423,184600,173748,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,four_factory_m0_far_corner,four_factory_m0_far_corner,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/factory_symbol_perm_m0_far_corner.yaml,1c4a15cccb0ce074cf5fe4244a11ff125e3228abe327bc698443ffd67acb4880,/home/abe/Project/Evaluation_grouped_surface_code/artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/e977c73764d911a7/mapping.json,ee74d589106943d7541e0aa186cd14b18a910d44e55ed9ca18d2f96474f935a9,,Dim2,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,e977c73764d911a7,True,814083,,814084,,1,,96,,9264413,,32448,,13,,,missing_in_compile_info,6.509199738502502e-05,,,not_collected,2018231800,1899586884,8900369439,,8900380372,,10933,,101287827329,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H5,11,10,1,4th(new_2),2.162126261219541,2.162126261219541,2.162126261219541,0,1,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,be867c2d23c889f82e0ad84860ad4cefeb908e09452eaa30a2b3a5b04b5e3b4d,1e-05,139143,1657,47102,475906,451262,3.646071207791769e-05,4.0,0.00015936001019904,9734.549561662418,9735,m0_only_left,m0_only_left,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/factory_m0_only_left.yaml,8f736957bf8538deee9c6a842dbbec982f91f64d20319732384bc13a92af62e7,/home/abe/Project/Evaluation_grouped_surface_code/artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/8b72aa136eca7123/mapping.json,ae3d5c82670c2559081880541226e707dc8fd168c8b116bb7cd04093bffcfa28,,Dim2,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,8b72aa136eca7123,False,7138608,,7138609,,1,,99,,87126712,,44550,,15,,,missing_in_compile_info,20.004976836964488,,,not_collected,4632944910,4393035570,69494348880,,69494358615,,9735,,848178541320,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H5,11,10,1,4th(new_2),2.162126261219541,2.162126261219541,2.162126261219541,0,1,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,be867c2d23c889f82e0ad84860ad4cefeb908e09452eaa30a2b3a5b04b5e3b4d,1e-05,139143,1657,47102,475906,451262,3.646071207791769e-05,4.0,0.00015936001019904,9734.549561662418,9735,m0_only_center,m0_only_center,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/factory_m0_only_center.yaml,0449fefa9ec03a69281c8d9aeeb40fd06fd2c12fb576200db4bd37bfc1029592,/home/abe/Project/Evaluation_grouped_surface_code/artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/c0111a11d757936f/mapping.json,fb0f084c422cea1690fb1dab41321b670a137334ede8ea5da25f4432b80e9029,,Dim2,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,c0111a11d757936f,False,7138608,,7138609,,1,,99,,83952800,,44550,,15,,,missing_in_compile_info,20.17003906145692,,,not_collected,4632944910,4393035570,69494348880,,69494358615,,9735,,817280508000,,,
