allocate_magic_factory_count,case_name,chip_cell_count,code_distance,compile_info_path,elapsed_seconds,estimated_execution_time_sec,factory_count,factory_plus_ban_cell_count,fixed_logical_workload_match,gate_count,gate_depth,gnu_time_max_rss_kb,gnu_time_swaps,machine_type,magic_factory_count,magic_generation_period,magic_state_consumption_count,magic_state_consumption_depth,maximum_magic_state_stock,measurement_feedback_count,measurement_feedback_depth,minimum_initial_free_neighbors,molecule,optimized_ir_hash,pf_label,physical_qubits,qasm_hash,qret_core_library_hash,qret_executable_hash,qubit_volume,reaction_time,rotation_precision,runtime,runtime_topology_overhead,runtime_without_topology,source_cache_key,source_compile_yaml,status,topology_hash,topology_path,usable_non_factory_cell_count,weighted_cnot_distance,weighted_nearest_factory_distance,weighted_nearest_factory_distance_mean,runtime_change_pct_vs_four_factories,runtime_change_pct_vs_eight_factories,qubit_volume_change_pct_vs_four_factories,runtime_reduction_pct_vs_previous_count,ideal_magic_supply_runtime,runtime_without_topology_minus_ideal_supply
4,h4_p1e-05_f4,92,13,artifacts/surface_code_factory_saturation_sweep_h4_h6_4th_paired/compile_info/h4_p1e-05_f4.json,5.860609335824847,10.583105,4,8,True,1020350,493287,311624,0,Dim2,4,15,184600,173748,10000,184600,173748,1,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4th(new_2),31096,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,9137994,1,1e-05,814085,2,814083,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,ok,8027d1126f884b41da9488eb4216e9921ce8bc4183fb270568684fc5f74cb108,configs/topologies/factory_saturation_h4_h6_4th/h4_factory_count_4.yaml,92,68660,25,2.7777777777777777,0.0,0.09713572565919204,0.0,,692250,121833
6,h4_p1e-05_f6,92,13,artifacts/surface_code_factory_saturation_sweep_h4_h6_4th_paired/compile_info/h4_p1e-05_f6.json,5.790299684740603,10.576072,6,8,True,1020352,493287,311040,0,Dim2,6,15,184600,173748,10000,184600,173748,1,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4th(new_2),31096,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,8668828,1,1e-05,813544,-20,813564,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,ok,05df4254637d8d186a21531186a5d4daa6164d812a391400fc86217b453b520f,configs/topologies/factory_saturation_h4_h6_4th/h4_factory_count_6.yaml,92,68660,22,2.4444444444444446,-0.06645497706013748,0.030616197074873064,-5.134234056183451,0.06645497706013748,461500,352064
8,h4_p1e-05_f8,92,13,artifacts/surface_code_factory_saturation_sweep_h4_h6_4th_paired/compile_info/h4_p1e-05_f8.json,5.979627696797252,10.572835,8,8,True,1020354,493287,311284,0,Dim2,8,15,184600,173748,10000,184600,173748,1,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4th(new_2),31096,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,8624481,1,1e-05,813295,-65,813360,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,ok,8424c83a5703de6a5e90d97c8e3aee6e546012224d927645442769c2d0c3342a,configs/topologies/factory_saturation_h4_h6_4th/h4_factory_count_8.yaml,92,68660,18,2.0,-0.0970414637292194,0.0,-5.619537504620819,0.03060682642856971,346125,467235
4,h4_p1e-02_f4,92,13,artifacts/surface_code_factory_saturation_sweep_h4_h6_4th_paired/compile_info/h4_p1e-02_f4.json,1.1352479411289096,1.903408,4,8,True,233643,77833,96544,0,Dim2,4,15,11716,10176,10000,11716,10176,1,H4,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,4th(new_2),31096,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1817137,1,0.01,146416,7,146409,f964909bc189bf5c,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/f964909bc189bf5c/compile.yaml,ok,8027d1126f884b41da9488eb4216e9921ce8bc4183fb270568684fc5f74cb108,configs/topologies/factory_saturation_h4_h6_4th/h4_factory_count_4.yaml,92,68660,25,2.7777777777777777,0.0,0.4521223680509445,0.0,,43935,102474
6,h4_p1e-02_f6,92,13,artifacts/surface_code_factory_saturation_sweep_h4_h6_4th_paired/compile_info/h4_p1e-02_f6.json,1.2502492628991604,1.894841,6,8,True,233645,77833,96324,0,Dim2,6,15,11716,10176,10000,11716,10176,1,H4,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,4th(new_2),31096,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1802439,1,0.01,145757,-265,146022,f964909bc189bf5c,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/f964909bc189bf5c/compile.yaml,ok,05df4254637d8d186a21531186a5d4daa6164d812a391400fc86217b453b520f,configs/topologies/factory_saturation_h4_h6_4th/h4_factory_count_6.yaml,92,68660,22,2.4444444444444446,-0.4500874221396556,0.0,-0.8088548084156599,0.4500874221396556,29290,116732
8,h4_p1e-02_f8,92,13,artifacts/surface_code_factory_saturation_sweep_h4_h6_4th_paired/compile_info/h4_p1e-02_f8.json,1.1452211858704686,1.894841,8,8,True,233647,77833,96496,0,Dim2,8,15,11716,10176,10000,11716,10176,1,H4,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,4th(new_2),31096,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1797696,1,0.01,145757,-194,145951,f964909bc189bf5c,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/f964909bc189bf5c/compile.yaml,ok,8424c83a5703de6a5e90d97c8e3aee6e546012224d927645442769c2d0c3342a,configs/topologies/factory_saturation_h4_h6_4th/h4_factory_count_8.yaml,92,68660,18,2.0,-0.4500874221396556,0.0,-1.069869800680956,0.0,21968,123983
4,h5_p1e-05_f4,92,15,artifacts/surface_code_factory_saturation_sweep_h4_h6_4th_paired/compile_info/h5_p1e-05_f4.json,16.47626467142254,31.834394999999997,4,8,True,2652189,1285963,824048,0,Dim2,4,15,475906,451262,10000,475906,451262,1,H5,be867c2d23c889f82e0ad84860ad4cefeb908e09452eaa30a2b3a5b04b5e3b4d,4th(new_2),41400,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,28011102,1,1e-05,2122293,28,2122265,36f8bb9ebf40ede2,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/36f8bb9ebf40ede2/compile.yaml,ok,8c66ee3a8132e67f77a17a869d50e439c4185da7de6a3d4adb2c535d5b145db8,configs/topologies/factory_saturation_h4_h6_4th/h5_factory_count_4.yaml,92,210628,35,3.1818181818181817,0.0,0.040963051233511294,0.0,,1784648,337617
6,h5_p1e-05_f6,92,15,artifacts/surface_code_factory_saturation_sweep_h4_h6_4th_paired/compile_info/h5_p1e-05_f6.json,16.33011660631746,31.825499999999998,6,8,True,2652191,1285963,824088,0,Dim2,6,15,475906,451262,10000,475906,451262,1,H5,be867c2d23c889f82e0ad84860ad4cefeb908e09452eaa30a2b3a5b04b5e3b4d,4th(new_2),41400,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,27150850,1,1e-05,2121700,84,2121616,36f8bb9ebf40ede2,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/36f8bb9ebf40ede2/compile.yaml,ok,c04395dc03830a7e740dbd9752a796c5e5bcce26fc236a115399d5a6ac3e41a4,configs/topologies/factory_saturation_h4_h6_4th/h5_factory_count_6.yaml,92,210628,31,2.8181818181818183,-0.027941476506776475,0.013010129045398777,-3.071110875966254,0.027941476506776475,1189765,931851
8,h5_p1e-05_f8,92,15,artifacts/surface_code_factory_saturation_sweep_h4_h6_4th_paired/compile_info/h5_p1e-05_f8.json,16.327659588307142,31.82136,8,8,True,2652193,1285963,824140,0,Dim2,8,15,475906,451262,10000,475906,451262,1,H5,be867c2d23c889f82e0ad84860ad4cefeb908e09452eaa30a2b3a5b04b5e3b4d,4th(new_2),41400,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,27034507,1,1e-05,2121424,105,2121319,36f8bb9ebf40ede2,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/36f8bb9ebf40ede2/compile.yaml,ok,772af5f4045d5e526d06a1d0d02662b7aa2c03fe158ac96fcc26825ef7b7fc80,configs/topologies/factory_saturation_h4_h6_4th/h5_factory_count_8.yaml,92,210628,26,2.3636363636363638,-0.04094627838852061,0.0,-3.4864569055512384,0.013008436631001263,892324,1228995
4,h5_p1e-02_f4,92,13,artifacts/surface_code_factory_saturation_sweep_h4_h6_4th_paired/compile_info/h5_p1e-02_f4.json,3.1812524683773518,4.710056,4,8,True,577167,189431,233728,0,Dim2,4,15,18938,17284,10000,18938,17284,1,H5,37162f0541135fde24e639924577cc2a512bdf0f6df9e5b9c74dec628cfe102a,4th(new_2),31096,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,5352962,1,0.01,362312,1,362311,8557d3f4c12c6eeb,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/8557d3f4c12c6eeb/compile.yaml,ok,8c66ee3a8132e67f77a17a869d50e439c4185da7de6a3d4adb2c535d5b145db8,configs/topologies/factory_saturation_h4_h6_4th/h5_factory_count_4.yaml,92,210628,35,3.1818181818181817,0.0,0.17003182221584368,0.0,,71018,291293
6,h5_p1e-02_f6,92,13,artifacts/surface_code_factory_saturation_sweep_h4_h6_4th_paired/compile_info/h5_p1e-02_f6.json,3.1868615597486496,4.702061,6,8,True,577169,189431,233528,0,Dim2,6,15,18938,17284,10000,18938,17284,1,H5,37162f0541135fde24e639924577cc2a512bdf0f6df9e5b9c74dec628cfe102a,4th(new_2),31096,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,5327591,1,0.01,361697,-251,361948,8557d3f4c12c6eeb,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/8557d3f4c12c6eeb/compile.yaml,ok,c04395dc03830a7e740dbd9752a796c5e5bcce26fc236a115399d5a6ac3e41a4,configs/topologies/factory_saturation_h4_h6_4th/h5_factory_count_6.yaml,92,210628,31,2.8181818181818183,-0.16974320475170446,0.0,-0.47396189249988563,0.16974320475170446,47345,314603
8,h5_p1e-02_f8,92,13,artifacts/surface_code_factory_saturation_sweep_h4_h6_4th_paired/compile_info/h5_p1e-02_f8.json,3.1861460227519274,4.702061,8,8,True,577171,189431,233604,0,Dim2,8,15,18938,17284,10000,18938,17284,1,H5,37162f0541135fde24e639924577cc2a512bdf0f6df9e5b9c74dec628cfe102a,4th(new_2),31096,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,5319630,1,0.01,361697,-194,361891,8557d3f4c12c6eeb,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/8557d3f4c12c6eeb/compile.yaml,ok,772af5f4045d5e526d06a1d0d02662b7aa2c03fe158ac96fcc26825ef7b7fc80,configs/topologies/factory_saturation_h4_h6_4th/h5_factory_count_8.yaml,92,210628,26,2.3636363636363638,-0.16974320475170446,0.0,-0.6226832919792868,0.0,35509,326382
