molecule,pf_label,topology_variant,m0_coordinate,factory_coordinate_set,used_magic_factory_symbols,used_magic_factory_coordinates,magic_count_by_factory_symbol,magic_count_by_factory_coordinate,magic_delivery_distance_mean,magic_delivery_distance_max,nearest_magic_distance_mean,nearest_magic_distance_max,cnot_distance_mean,cnot_distance_max,chip_cell_active_qubit_area_ave,chip_cell_active_qubit_area_peak,runtime_with_topology,qubit_volume,chip_cells,physical_qubits,code_distance,qret_compile_elapsed_sec,qret_compile_peak_rss_kb,qret_mapping_elapsed_sec,qret_mapping_peak_rss_kb,qret_peak_rss_kb,compile_cache_hit,mapping_result_json,compile_info_json,stage_metrics_json
H4,4th(new_2),m0_left,"(0,0)","(0,0);(4,4);(9,0);(9,9)",0,"(0,0)","{""0"":184600}","{""0,0,0"":184600}",12.239263271939329,14,3.3333333333333335,4,5.601269169751454,12,11.37934046118091,41,814084,9263739,96,32448,13,5.481618694961071,310684,5.016254154033959,2969744,2969744,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/5e3d081c24ca3f10/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/5e3d081c24ca3f10/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/5e3d081c24ca3f10/compile_stage_metrics.json
H4,4th(new_2),m0_center,"(4,4)","(0,0);(4,4);(9,0);(9,9)",0,"(4,4)","{""0"":184600}","{""4,4,0"":184600}",5.105308775731311,6,3.3333333333333335,4,5.601269169751454,12,11.37933063418517,41,814084,9263731,96,32448,13,5.5289794616401196,311488,5.1064860466867685,2969944,2969944,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/084c78e39240ec88/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/084c78e39240ec88/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/084c78e39240ec88/compile_stage_metrics.json
H4,4th(new_2),m0_right,"(9,0)","(0,0);(4,4);(9,0);(9,9)",0,"(9,0)","{""0"":184600}","{""9,0,0"":184600}",6.700498374864572,13,3.3333333333333335,4,5.601269169751454,12,11.37934046118091,41,814084,9263739,96,32448,13,5.4668889148160815,310756,4.9699760200455785,2969708,2969708,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/4dff716a3b1edbf8/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/4dff716a3b1edbf8/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/4dff716a3b1edbf8/compile_stage_metrics.json
H4,4th(new_2),m0_far_corner,"(9,9)","(0,0);(4,4);(9,0);(9,9)",0,"(9,9)","{""0"":184600}","{""9,9,0"":184600}",5.760736728060672,16,3.3333333333333335,4,5.601269169751454,12,11.380168385572006,41,814084,9264413,96,32448,13,5.5352105144411325,310616,5.05390802398324,2969944,2969944,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/e977c73764d911a7/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/e977c73764d911a7/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/e977c73764d911a7/compile_stage_metrics.json
H5,4th(new_2),m0_left,"(0,0)","(0,0);(4,4);(9,0);(9,9)",0,"(0,0)","{""0"":475906}","{""0,0,0"":475906}",11.39658672090707,14,4.0,8,6.952527075812275,14,13.277999524100089,55,2122295,28179832,96,43200,15,15.15791304409504,825508,12.420732994563878,7732048,7732048,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/e5d028f292b14690/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/e5d028f292b14690/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/e5d028f292b14690/compile_stage_metrics.json
H5,4th(new_2),m0_center,"(4,4)","(0,0);(4,4);(9,0);(9,9)",0,"(4,4)","{""0"":475906}","{""4,4,0"":475906}",5.147655209221989,8,4.0,8,6.952527075812275,14,13.277999524100089,55,2122295,28179832,96,43200,15,15.209166487678885,826256,12.494676646776497,7730872,7730872,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/1e20e273fb0cd997/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/1e20e273fb0cd997/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/1e20e273fb0cd997/compile_stage_metrics.json
H5,4th(new_2),m0_right,"(9,0)","(0,0);(4,4);(9,0);(9,9)",0,"(9,0)","{""0"":475906}","{""9,0,0"":475906}",6.987350443154741,17,4.0,8,6.952527075812275,14,13.277999524100089,55,2122295,28179832,96,43200,15,15.341529340483248,826184,12.431327004916966,7731572,7731572,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/3b1ae46b4ac9dcea/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/3b1ae46b4ac9dcea/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/3b1ae46b4ac9dcea/compile_stage_metrics.json
H5,4th(new_2),m0_far_corner,"(9,9)","(0,0);(4,4);(9,0);(9,9)",0,"(9,9)","{""0"":475906}","{""9,9,0"":475906}",6.60341327909293,16,4.0,8,6.952527075812275,14,13.284300250436438,55,2122295,28193204,96,43200,15,15.291307646781206,825160,12.347521512769163,7731404,7731404,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/e1f5c22d2907c9a5/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/e1f5c22d2907c9a5/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/e1f5c22d2907c9a5/compile_stage_metrics.json
H6,4th(new_2),m0_left,"(0,0)","(0,0);(4,4);(9,0);(9,9)",0,"(0,0)","{""0"":1025480}","{""0,0,0"":1025480}",10.808308304403791,14,3.8461538461538463,8,5.754661142349808,14,15.115263850596653,47,4576283,69171725,96,43200,15,34.14374735951424,1740396,26.91892324294895,16812084,16812084,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H6_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/59567013c45bbc4d/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H6_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/59567013c45bbc4d/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H6_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/59567013c45bbc4d/compile_stage_metrics.json
H6,4th(new_2),m0_center,"(4,4)","(0,0);(4,4);(9,0);(9,9)",0,"(4,4)","{""0"":1025480}","{""4,4,0"":1025480}",5.009127433006982,8,3.8461538461538463,8,5.754661142349808,14,15.115263850596653,47,4576283,69171725,96,43200,15,34.891111893579364,1740136,27.13452556822449,16812152,16812152,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H6_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/0657b7a98b0117f9/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H6_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/0657b7a98b0117f9/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H6_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/0657b7a98b0117f9/compile_stage_metrics.json
H6,4th(new_2),m0_right,"(9,0)","(0,0);(4,4);(9,0);(9,9)",0,"(9,0)","{""0"":1025480}","{""9,0,0"":1025480}",7.722260794944806,17,3.8461538461538463,8,5.754661142349808,14,15.115263850596653,47,4576283,69171725,96,43200,15,34.580582834780216,1740440,26.858650105074048,16812476,16812476,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H6_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/d3c356aef61306ee/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H6_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/d3c356aef61306ee/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H6_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/d3c356aef61306ee/compile_stage_metrics.json
H6,4th(new_2),m0_far_corner,"(9,9)","(0,0);(4,4);(9,0);(9,9)",0,"(9,9)","{""0"":1025480}","{""9,9,0"":1025480}",7.191691695596209,16,3.8461538461538463,8,5.754661142349808,14,15.116067996668912,47,4576283,69175405,96,43200,15,34.13214202038944,1740352,26.87000257987529,16811736,16811736,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H6_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/044e2d6fbe9cb5ab/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H6_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/044e2d6fbe9cb5ab/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H6_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/044e2d6fbe9cb5ab/compile_stage_metrics.json
H7,4th(new_2),m0_left,"(0,0)","(0,0);(4,4);(9,0);(9,9)",0,"(0,0)","{""0"":1971706}","{""0,0,0"":1971706}",10.832176805264071,14,3.7333333333333334,8,6.3927958232594,14,17.279859643174063,52,8871104,153291432,96,55488,17,68.27295190282166,3282836,52.61799600441009,32464948,32464948,False,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H7_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/b020a76b237ce262/mapping.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H7_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/b020a76b237ce262/compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H7_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/b020a76b237ce262/compile_stage_metrics.json
