status,compiled_circuit_scope,qpe_scaling_model,molecule,num_logical_qubits,num_system_qubits,num_control_qubits,pf_label,step_time,base_step_time,effective_evolution_time,qpe_power_k,time_multiplier,qasm_hash,optimized_ir_hash,rotation_precision,step_rz_count,step_rz_layer,step_rz_depth,step_magic_state_count,step_magic_state_depth,pf_error_coefficient,pf_order,qpe_target_error,qpe_effective_block_count,qpe_action_count,case_name,topology_name,topology_path,topology_hash,mapping_result_json,mapping_result_hash,mapping_result_unavailable_reason,machine_type,mapping_algorithm,mapping_partition_algorithm,mapping_partition_seed,mapping_find_place_algorithm,magic_generation_period,resolved_maximum_magic_state_stock,stock_policy,entanglement_generation_period,maximum_entangled_state_stock,reaction_time,compile_mode,compiler_executable_path,compiler_executable_hash,cache_key,compile_cache_hit,runtime_without_topology,runtime_without_topology_unavailable_reason,runtime_with_topology,runtime_with_topology_unavailable_reason,runtime_difference_vs_topology_free,runtime_difference_vs_topology_free_unavailable_reason,chip_cells,chip_cells_unavailable_reason,active_qubit_area_ave,active_qubit_area_ave_unavailable_reason,active_qubit_area_peak,active_qubit_area_peak_unavailable_reason,active_qubit_area_ratio_ave,active_qubit_area_ratio_ave_unavailable_reason,active_qubit_area_ratio_peak,active_qubit_area_ratio_peak_unavailable_reason,qubit_volume,qubit_volume_unavailable_reason,physical_qubits,physical_qubits_unavailable_reason,code_distance,code_distance_unavailable_reason,failure_probability,failure_probability_unavailable_reason,compile_elapsed_time,compile_elapsed_time_unavailable_reason,peak_process_memory,peak_process_memory_unavailable_reason,total_magic_state_count,total_magic_state_depth,total_runtime_without_topology,total_runtime_without_topology_unavailable_reason,total_runtime_with_topology,total_runtime_with_topology_unavailable_reason,total_runtime_difference_vs_topology_free,total_runtime_difference_vs_topology_free_unavailable_reason,total_qubit_volume,total_qubit_volume_unavailable_reason,error_type,error_message
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1e-05,51555,459,17423,184600,173748,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,p1e-5_auto_8x8,auto_8x8,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/logical_grid_capacity_h4_h7/auto_center_8x8.yaml,d018d928f2f513d7bf4f390a1f3cb17a11a8c77865b0f15d1de5ac9389061f68,/home/abe/Project/Evaluation_grouped_surface_code/artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/b1df0c30a722cfbd/mapping.json,4aba73e8330af9c9d7adebc4dd5d86aeb6935d50509adc2f418213eac0781dbc,,Dim2,1,0,314,0,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,b1df0c30a722cfbd,False,814083,,814084,,1,,60,,10.829809945902388,,39,,0.18049683243182507,,0.65,,8816375,,20280,,13,,,missing_in_compile_info,5.410631514154375,,,not_collected,2018231800,1899586884,8900369439,,8900380372,,10933,,96389427875,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1e-05,51555,459,17423,184600,173748,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,p1e-5_aware_8x8,aware_8x8,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/logical_grid_capacity_h4_h7/h4_8x8_compact_interaction_aware.yaml,ffdef5328ddc00d6931ce7a787c399f3116df93cae8d0cca816da365691e1de7,,,disabled,Dim2,0,0,314,0,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,91d5cba16f9ea21a,False,814083,,814084,,1,,60,,10.670922165280242,,42,,0.1778487027549429,,0.7,,8687027,,20280,,13,,,missing_in_compile_info,5.355821839533746,,,not_collected,2018231800,1899586884,8900369439,,8900380372,,10933,,94975266191,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1e-05,51555,459,17423,184600,173748,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,p1e-5_auto_10x10,auto_10x10,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/logical_grid_capacity_h4_h7/auto_center_10x10.yaml,59e75a8385fc392f0a8b0f01b1cf9ce4390728b6f4eab0427009319d0f2f545c,/home/abe/Project/Evaluation_grouped_surface_code/artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/d3b95c6ae3fe81f4/mapping.json,d146dfa913bda545b3ff6aeba00fd9d80e30d36fb84c5794ee030beb71f861b4,,Dim2,1,0,314,0,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,d3b95c6ae3fe81f4,False,814083,,814086,,3,,96,,11.299984276845445,,45,,0.11770816955097753,,0.46875,,9199159,,32448,,13,,,missing_in_compile_info,5.633402533829212,,,not_collected,2018231800,1899586884,8900369439,,8900402238,,32799,,100574405347,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1e-05,51555,459,17423,184600,173748,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,p1e-5_aware_10x10,aware_10x10,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/logical_grid_capacity_h4_h7/h4_10x10_compact_interaction_aware.yaml,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,,,disabled,Dim2,0,0,314,0,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,50cb40f83797b2c7,False,814083,,814084,,1,,96,,10.602576638283027,,42,,0.11044350664913279,,0.4375,,8631388,,32448,,13,,,missing_in_compile_info,5.4147480269894,,,not_collected,2018231800,1899586884,8900369439,,8900380372,,10933,,94366965004,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1e-05,51555,459,17423,184600,173748,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,p1e-5_auto_12x12,auto_12x12,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/logical_grid_capacity_h4_h7/auto_center_12x12.yaml,ec56559bd86b684ea9edbabef05a4014e496563966aad873ab2fc0e6ea6876d8,/home/abe/Project/Evaluation_grouped_surface_code/artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/6d034751df9248af/mapping.json,3b52a7b060d2ded3acf219487753518483fd720df0ae046baff57745b5bc2f8b,,Dim2,1,0,314,0,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,6d034751df9248af,False,814083,,814084,,1,,140,,11.653163555603598,,57,,0.08323688253973949,,0.40714285714285714,,9486654,,47320,,13,,,missing_in_compile_info,5.766686568967998,,,not_collected,2018231800,1899586884,8900369439,,8900380372,,10933,,103717588182,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1e-05,51555,459,17423,184600,173748,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,p1e-5_aware_12x12,aware_12x12,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/logical_grid_capacity_h4_h7/h4_12x12_compact_interaction_aware.yaml,0dfbf149bb46298ac03e6f283c42c10924dd03bc792e145c7bb8c573fe7b1c50,,,disabled,Dim2,0,0,314,0,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,f6e956acee12a413,False,814083,,814084,,1,,140,,10.67108553908442,,42,,0.07622203956456101,,0.3,,8687160,,47320,,13,,,missing_in_compile_info,5.490782966837287,,,not_collected,2018231800,1899586884,8900369439,,8900380372,,10933,,94976720280,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,0.01,51555,459,17423,11716,10176,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,p1e-2_auto_8x8,auto_8x8,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/logical_grid_capacity_h4_h7/auto_center_8x8.yaml,d018d928f2f513d7bf4f390a1f3cb17a11a8c77865b0f15d1de5ac9389061f68,/home/abe/Project/Evaluation_grouped_surface_code/artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/c11464f9bde06cbc/mapping.json,fe167493af7994bd88ef1ccb34fb7433ef219cd9f222da3c94aaf93cf74f0d4d,,Dim2,1,0,314,0,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,c11464f9bde06cbc,False,146409,,146410,,1,,60,,12.406222252578376,,40,,0.20677037087651937,,0.6666666666666666,,1816395,,20280,,13,,,missing_in_compile_info,1.1643928559496999,,,not_collected,128091028,111254208,1600689597,,1600700530,,10933,,19858646535,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,0.01,51555,459,17423,11716,10176,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,p1e-2_aware_8x8,aware_8x8,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/logical_grid_capacity_h4_h7/h4_8x8_compact_interaction_aware.yaml,ffdef5328ddc00d6931ce7a787c399f3116df93cae8d0cca816da365691e1de7,,,disabled,Dim2,0,0,314,0,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,ab58bf1fe3ada9c6,False,146409,,146410,,1,,60,,12.16722218427703,,32,,0.20278703640484222,,0.5333333333333333,,1781403,,20280,,13,,,missing_in_compile_info,1.161487691104412,,,not_collected,128091028,111254208,1600689597,,1600700530,,10933,,19476078999,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,0.01,51555,459,17423,11716,10176,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,p1e-2_auto_10x10,auto_10x10,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/logical_grid_capacity_h4_h7/auto_center_10x10.yaml,59e75a8385fc392f0a8b0f01b1cf9ce4390728b6f4eab0427009319d0f2f545c,/home/abe/Project/Evaluation_grouped_surface_code/artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/e8706a6ff4f6b5fa/mapping.json,7efc2b96bc5827f3a942a0e82af4cd05624952c93f4e1e096c971b372fdfec36,,Dim2,1,0,314,0,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,e8706a6ff4f6b5fa,False,146409,,146410,,1,,96,,12.510914555016734,,38,,0.13032202661473355,,0.3958333333333333,,1831723,,32448,,13,,,missing_in_compile_info,1.185550881549716,,,not_collected,128091028,111254208,1600689597,,1600700530,,10933,,20026227559,,,
success,efficient_controlled_pf_one_step,linear_extrapolation_from_efficient_controlled_pf_one_step,H4,9,8,1,4th(new_2),1.925283880931039,1.925283880931039,1.925283880931039,0,1,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,0.01,51555,459,17423,11716,10176,5.799228940107614e-05,4.0,0.00015936001019904,10932.063295639966,10933,p1e-2_aware_10x10,aware_10x10,/home/abe/Project/Evaluation_grouped_surface_code/configs/topologies/logical_grid_capacity_h4_h7/h4_10x10_compact_interaction_aware.yaml,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,,,disabled,Dim2,0,0,314,0,15,10000,fixed,100,10,1,ftqc_compile_topology_qec,/home/abe/Project/Evaluation_grouped_surface_code/build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,f964909bc189bf5c,False,146409,,146410,,1,,96,,12.071361245816542,,34,,0.1257433463105563,,0.3541666666666667,,1767368,,32448,,13,,,missing_in_compile_info,1.1577260550111532,,,not_collected,128091028,111254208,1600689597,,1600700530,,10933,,19322634344,,,
