allocate_magic_factory_count,base_diagnostic_patch_sha256,case_name,chip_cell_count,code_distance,compile_info_path,diagnostic_condition,diagnostic_family,diagnostic_patch_sha256,distance_sensitive_path_instruction_count,distance_sensitive_path_latency_added,distance_sensitive_path_latency_denominator,distance_sensitive_path_latency_max,distance_sensitive_path_latency_numerator,elapsed_seconds,estimated_execution_time_sec,factory_count,factory_plus_ban_cell_count,fixed_logical_workload_match,gate_count,gate_depth,gnu_time_max_rss_kb,gnu_time_swaps,machine_type,magic_factory_count,magic_generation_period,magic_state_consumption_count,magic_state_consumption_depth,maximum_magic_state_stock,measurement_feedback_count,measurement_feedback_depth,minimum_initial_free_neighbors,molecule,optimized_ir_hash,path_latency_denominator,path_latency_model,path_latency_numerator,pf_label,physical_qubits,qasm_hash,qret_core_library_hash,qret_executable_hash,qubit_volume,reaction_time,rotation_precision,runtime,runtime_estimation_magic_state_consumption_count,runtime_estimation_magic_state_consumption_depth,runtime_topology_overhead,runtime_without_topology,source_cache_key,source_compile_yaml,state_buffer_width,status,topology_hash,topology_path,usable_non_factory_cell_count,validation_stage,weighted_cnot_distance,weighted_nearest_factory_distance,weighted_nearest_factory_distance_mean,workload_ignored_fields,condition_order,runtime_change_pct_vs_family_reference,physical_runtime_change_pct_vs_family_reference,qubit_volume_change_pct_vs_family_reference,runtime_change_pct_vs_fixed_same_topology,qubit_volume_change_pct_vs_fixed_same_topology,runtime_monotonic_non_decreasing,architecture_metric_monotonic_non_decreasing,physical_runtime_monotonic_non_decreasing,runtime_change_pct_vs_unconstrained,qubit_volume_change_pct_vs_unconstrained
4,be80d0251428081b5970d714b0177a4f6f6dcb7c5a1b3012f6fb426695637d71,h4_p1e-05_placement_compact_latency_fixed,96,13,artifacts/surface_code_magic_factory_busy_probe_h4_4th_paired/compile_info/h4_p1e-05_placement_compact_latency_fixed.json,compact,placement,adb997c8d5cff5cbcf3b87e360e410659d575eaa5ade4bd5c405f85b1f50f9fc,199728,0,1,2,0,5.679944342933595,10.583091999999999,4,4,True,1020350,493287,310940,0,Dim2,4,15,184600,173748,10000,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1,fixed,0,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,4faf0c86cec5bcf4a627c8227da0cd637f94c8be4ceb57b66a6eda35d6f5480e,1e840f8893e8375d44986dd72d7a6adbcbeeebbe046480c3e359f92905df0d37,8631386,1,1e-05,814084,2769000,2606220,1,814083,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,256,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/logical_placement_h4_h7/h4_compact_interaction_aware.yaml,96,factory_busy_probe,68660,25,2.7777777777777777,[],0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,-2.3171244301067873e-05
4,be80d0251428081b5970d714b0177a4f6f6dcb7c5a1b3012f6fb426695637d71,h4_p1e-05_placement_compact_latency_quarter,96,15,artifacts/surface_code_magic_factory_busy_probe_h4_4th_paired/compile_info/h4_p1e-05_placement_compact_latency_quarter.json,compact,placement,adb997c8d5cff5cbcf3b87e360e410659d575eaa5ade4bd5c405f85b1f50f9fc,199728,131688,4,6,1,5.841907459311187,14.056904999999999,4,4,True,1020350,493287,321400,0,Dim2,4,15,184600,173748,10000,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4,quarter,1,4th(new_2),43200,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,4faf0c86cec5bcf4a627c8227da0cd637f94c8be4ceb57b66a6eda35d6f5480e,1e840f8893e8375d44986dd72d7a6adbcbeeebbe046480c3e359f92905df0d37,10039636,1,1e-05,937127,2769000,2606220,266,936861,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,256,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/logical_placement_h4_h7/h4_compact_interaction_aware.yaml,96,factory_busy_probe,68660,25,2.7777777777777777,[],0,0.0,0.0,0.0,15.114287960456174,16.315456173550814,True,True,True,0.017716852675842,0.011316431737817823
4,be80d0251428081b5970d714b0177a4f6f6dcb7c5a1b3012f6fb426695637d71,h4_p1e-05_placement_compact_latency_unit,96,15,artifacts/surface_code_magic_factory_busy_probe_h4_4th_paired/compile_info/h4_p1e-05_placement_compact_latency_unit.json,compact,placement,adb997c8d5cff5cbcf3b87e360e410659d575eaa5ade4bd5c405f85b1f50f9fc,199728,168566,1,18,1,6.123913659714162,14.540894999999999,4,4,True,1020350,493287,321600,0,Dim2,4,15,184600,173748,10000,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1,unit,1,4th(new_2),43200,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,4faf0c86cec5bcf4a627c8227da0cd637f94c8be4ceb57b66a6eda35d6f5480e,1e840f8893e8375d44986dd72d7a6adbcbeeebbe046480c3e359f92905df0d37,10536348,1,1e-05,969393,2769000,2606220,509,968884,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,256,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/logical_placement_h4_h7/h4_compact_interaction_aware.yaml,96,factory_busy_probe,68660,25,2.7777777777777777,[],0,0.0,0.0,0.0,19.077761017290594,22.070175056474127,True,True,True,0.028995616605720365,0.007745218751176175
4,be80d0251428081b5970d714b0177a4f6f6dcb7c5a1b3012f6fb426695637d71,h4_p1e-05_placement_intermediate_latency_fixed,96,13,artifacts/surface_code_magic_factory_busy_probe_h4_4th_paired/compile_info/h4_p1e-05_placement_intermediate_latency_fixed.json,intermediate,placement,adb997c8d5cff5cbcf3b87e360e410659d575eaa5ade4bd5c405f85b1f50f9fc,199728,0,1,2,0,6.101554519496858,10.583091999999999,4,4,True,1020350,493287,311336,0,Dim2,4,15,184600,173748,10000,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1,fixed,0,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,4faf0c86cec5bcf4a627c8227da0cd637f94c8be4ceb57b66a6eda35d6f5480e,1e840f8893e8375d44986dd72d7a6adbcbeeebbe046480c3e359f92905df0d37,8822658,1,1e-05,814084,2769000,2606220,1,814083,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,256,ok,91ffbbd06a97f7a78ac3baf49570f1d02f18ec9d78f611baf79d82bb9c608db7,configs/topologies/logical_placement_h4_h7/h4_compact_numeric.yaml,96,factory_busy_probe,84156,25,2.7777777777777777,[],1,0.0,0.0,2.2160056333942135,0.0,0.0,True,True,True,0.0,-0.0016321345531755682
4,be80d0251428081b5970d714b0177a4f6f6dcb7c5a1b3012f6fb426695637d71,h4_p1e-05_placement_intermediate_latency_quarter,96,15,artifacts/surface_code_magic_factory_busy_probe_h4_4th_paired/compile_info/h4_p1e-05_placement_intermediate_latency_quarter.json,intermediate,placement,adb997c8d5cff5cbcf3b87e360e410659d575eaa5ade4bd5c405f85b1f50f9fc,199728,174866,4,6,1,6.179983049631119,14.680425,4,4,True,1020350,493287,322476,0,Dim2,4,15,184600,173748,10000,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4,quarter,1,4th(new_2),43200,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,4faf0c86cec5bcf4a627c8227da0cd637f94c8be4ceb57b66a6eda35d6f5480e,1e840f8893e8375d44986dd72d7a6adbcbeeebbe046480c3e359f92905df0d37,10809685,1,1e-05,978695,2769000,2606220,130,978565,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,256,ok,91ffbbd06a97f7a78ac3baf49570f1d02f18ec9d78f611baf79d82bb9c608db7,configs/topologies/logical_placement_h4_h7/h4_compact_numeric.yaml,96,factory_busy_probe,84156,25,2.7777777777777777,[],1,4.435684811130192,4.435684811130192,7.670088835890065,20.2203949469588,22.521863592581724,True,True,True,0.01072972337752276,0.001665201135492289
4,be80d0251428081b5970d714b0177a4f6f6dcb7c5a1b3012f6fb426695637d71,h4_p1e-05_placement_intermediate_latency_unit,96,15,artifacts/surface_code_magic_factory_busy_probe_h4_4th_paired/compile_info/h4_p1e-05_placement_intermediate_latency_unit.json,intermediate,placement,adb997c8d5cff5cbcf3b87e360e410659d575eaa5ade4bd5c405f85b1f50f9fc,199728,325002,1,17,1,6.470765958540142,16.806015,4,4,True,1020350,493287,325400,0,Dim2,4,15,184600,173748,10000,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1,unit,1,4th(new_2),43200,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,4faf0c86cec5bcf4a627c8227da0cd637f94c8be4ceb57b66a6eda35d6f5480e,1e840f8893e8375d44986dd72d7a6adbcbeeebbe046480c3e359f92905df0d37,12744654,1,1e-05,1120401,2769000,2606220,219,1120182,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,256,ok,91ffbbd06a97f7a78ac3baf49570f1d02f18ec9d78f611baf79d82bb9c608db7,configs/topologies/logical_placement_h4_h7/h4_compact_numeric.yaml,96,factory_busy_probe,84156,25,2.7777777777777777,[],1,15.577583085497837,15.577583085497837,20.958931880382092,37.6271981761096,44.4536782452635,True,True,True,0.0049984602957131585,-0.022772990934649684
4,be80d0251428081b5970d714b0177a4f6f6dcb7c5a1b3012f6fb426695637d71,h4_p1e-05_placement_perimeter_latency_fixed,96,13,artifacts/surface_code_magic_factory_busy_probe_h4_4th_paired/compile_info/h4_p1e-05_placement_perimeter_latency_fixed.json,perimeter,placement,adb997c8d5cff5cbcf3b87e360e410659d575eaa5ade4bd5c405f85b1f50f9fc,199728,0,1,2,0,6.165365459397435,10.583261,4,4,True,1020350,493287,314000,0,Dim2,4,15,184600,173748,10000,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1,fixed,0,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,4faf0c86cec5bcf4a627c8227da0cd637f94c8be4ceb57b66a6eda35d6f5480e,1e840f8893e8375d44986dd72d7a6adbcbeeebbe046480c3e359f92905df0d37,9574950,1,1e-05,814097,2769000,2606220,14,814083,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,256,ok,cac8dbb57c55bcb617166397de939e0e3e90ad0e3a09588e1332ec877f820447,configs/topologies/logical_placement_h4_h7/h4_perimeter_numeric.yaml,96,factory_busy_probe,129672,51,5.666666666666667,[],2,0.0015968868077420595,0.0015968868077420595,10.93177851158551,0.0,0.0,True,True,True,0.0,-0.005660283565589452
4,be80d0251428081b5970d714b0177a4f6f6dcb7c5a1b3012f6fb426695637d71,h4_p1e-05_placement_perimeter_latency_quarter,96,15,artifacts/surface_code_magic_factory_busy_probe_h4_4th_paired/compile_info/h4_p1e-05_placement_perimeter_latency_quarter.json,perimeter,placement,adb997c8d5cff5cbcf3b87e360e410659d575eaa5ade4bd5c405f85b1f50f9fc,199728,324887,4,7,1,6.57354926224798,16.822575,4,4,True,1020350,493287,327664,0,Dim2,4,15,184600,173748,10000,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4,quarter,1,4th(new_2),43200,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,4faf0c86cec5bcf4a627c8227da0cd637f94c8be4ceb57b66a6eda35d6f5480e,1e840f8893e8375d44986dd72d7a6adbcbeeebbe046480c3e359f92905df0d37,14471585,1,1e-05,1121505,2769000,2606220,707,1120798,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,256,ok,cac8dbb57c55bcb617166397de939e0e3e90ad0e3a09588e1332ec877f820447,configs/topologies/logical_placement_h4_h7/h4_perimeter_numeric.yaml,96,factory_busy_probe,129672,51,5.666666666666667,[],2,19.67481461957665,19.67481461957665,44.14451878534243,37.76061083630082,51.14005817262752,True,True,True,0.030860921599873414,-0.007545252339979935
4,be80d0251428081b5970d714b0177a4f6f6dcb7c5a1b3012f6fb426695637d71,h4_p1e-05_placement_perimeter_latency_unit,96,15,artifacts/surface_code_magic_factory_busy_probe_h4_4th_paired/compile_info/h4_p1e-05_placement_perimeter_latency_unit.json,perimeter,placement,adb997c8d5cff5cbcf3b87e360e410659d575eaa5ade4bd5c405f85b1f50f9fc,199728,990803,1,19,1,7.205467075109482,26.28396,4,4,True,1020350,493287,368268,0,Dim2,4,15,184600,173748,10000,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,1,unit,1,4th(new_2),43200,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,4faf0c86cec5bcf4a627c8227da0cd637f94c8be4ceb57b66a6eda35d6f5480e,1e840f8893e8375d44986dd72d7a6adbcbeeebbe046480c3e359f92905df0d37,24403559,1,1e-05,1752264,2769000,2606220,1684,1750580,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,256,ok,cac8dbb57c55bcb617166397de939e0e3e90ad0e3a09588e1332ec877f820447,configs/topologies/logical_placement_h4_h7/h4_perimeter_numeric.yaml,96,factory_busy_probe,129672,51,5.666666666666667,[],2,80.75888726244156,80.75888726244156,131.61306934812708,115.24019864954668,154.8687878265683,True,True,True,0.034881337799208545,0.00015161745914316072
4,be80d0251428081b5970d714b0177a4f6f6dcb7c5a1b3012f6fb426695637d71,h4_p1e-02_placement_compact_latency_fixed,96,13,artifacts/surface_code_magic_factory_busy_probe_h4_4th_paired/compile_info/h4_p1e-02_placement_compact_latency_fixed.json,compact,placement,adb997c8d5cff5cbcf3b87e360e410659d575eaa5ade4bd5c405f85b1f50f9fc,26844,0,1,2,0,1.2261301632970572,1.90333,4,4,True,233643,77833,96652,0,Dim2,4,15,11716,10176,10000,11716,10176,2,H4,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,1,fixed,0,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,4faf0c86cec5bcf4a627c8227da0cd637f94c8be4ceb57b66a6eda35d6f5480e,1e840f8893e8375d44986dd72d7a6adbcbeeebbe046480c3e359f92905df0d37,1767327,1,0.01,146410,175740,152640,1,146409,f964909bc189bf5c,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/f964909bc189bf5c/compile.yaml,256,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/logical_placement_h4_h7/h4_compact_interaction_aware.yaml,96,factory_busy_probe,68660,25,2.7777777777777777,[],0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,-0.0023198337867347263
