molecule,pf_label,case_name,topology_name,magic_generation_period,cache_key,runtime_with_topology,runtime_without_topology,runtime_difference_vs_topology_free,qubit_volume,chip_cells,physical_qubits,code_distance,active_area_ave,active_area_peak,algorithmic_qubit_ave,algorithmic_qubit_peak,magic_state_consumption_count,magic_state_consumption_depth,gate_count,gate_depth,mapping_result_json,mapping_summary_json,mapping_compile_info_json,full_compile_info_json,mapping_qret_elapsed_sec,mapping_qret_maxrss_kb,logical_bbox_area,nearest_magic_distance_mean,nearest_magic_distance_max,magic_operation_distance_mean,magic_operation_distance_max,magic_operation_distance_sum,cnot_distance_mean,cnot_distance_max
H4,4th(new_2),baseline_left_edge,factory_left_edge,15,85bf3d9739994a3d,814085,814083,2,10378538,96,43200,15,12.748715428978546,55,8.989983846895594,9,184600,173748,1020350,493287,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_baseline_left_edge/mapping.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_baseline_left_edge/mapping_summary.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_baseline_left_edge/mapping_compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/85bf3d9739994a3d/compile_info.json,5.03384511731565,2969832,81,8.0,13,13.56281690140845,16,2503696,6.27181385510312,13
H4,4th(new_2),baseline_center_block,factory_center_block,15,89a6fbac6c8eb4c4,814086,814083,3,9199159,96,32448,13,11.299984276845445,45,8.989977717341903,9,184600,173748,1020350,493287,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_baseline_center_block/mapping.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_baseline_center_block/mapping_summary.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_baseline_center_block/mapping_compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/89a6fbac6c8eb4c4/compile_info.json,5.007238882128149,2969816,70,4.333333333333333,7,6.782491874322861,8,1252048,5.689582231623479,13
H4,4th(new_2),baseline_right_edge,factory_right_edge,15,cbafcbd647998069,814240,814083,157,9508834,96,32448,13,11.678171055217135,46,8.989988209864414,9,184600,173748,1020350,493287,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_baseline_right_edge/mapping.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_baseline_right_edge/mapping_summary.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_baseline_right_edge/mapping_compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/cbafcbd647998069/compile_info.json,4.980625918135047,2969920,70,5.888888888888889,10,8.316749729144096,13,1535272,5.78397673188789,11
H4,4th(new_2),fast_supply_left_edge,factory_left_edge,8,45f6d8e85edcc1a4,813266,813265,1,10238762,96,43200,15,12.589684064008578,55,8.990432404649892,9,184600,173748,1020350,493287,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_fast_supply_left_edge/mapping.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_fast_supply_left_edge/mapping_summary.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_fast_supply_left_edge/mapping_compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/45f6d8e85edcc1a4/compile_info.json,5.014195885974914,2969924,81,8.0,13,13.56281690140845,16,2503696,6.27181385510312,13
H4,4th(new_2),fast_supply_center_block,factory_center_block,8,1f81988ad1c2e67e,813263,813265,-2,9110787,96,32448,13,11.202756058003377,45,8.990436058200116,9,184600,173748,1020350,493287,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_fast_supply_center_block/mapping.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_fast_supply_center_block/mapping_summary.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_fast_supply_center_block/mapping_compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/1f81988ad1c2e67e/compile_info.json,5.108395826071501,2969988,70,4.333333333333333,7,6.782491874322861,8,1252048,5.689582231623479,13
H4,4th(new_2),fast_supply_right_edge,factory_right_edge,8,5ccd83de632feffe,813394,813265,129,9285847,96,32448,13,11.416173465749686,46,8.99043268084102,9,184600,173748,1020350,493287,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_fast_supply_right_edge/mapping.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_fast_supply_right_edge/mapping_summary.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H4_fast_supply_right_edge/mapping_compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/5ccd83de632feffe/compile_info.json,5.186797492206097,2969776,70,5.888888888888889,10,8.316749729144096,13,1535272,5.78397673188789,11
H5,4th(new_2),baseline_left_edge,factory_left_edge,15,2e9c74d6f36488db,2122354,2122265,89,31055023,96,43200,15,14.632348326433762,61,10.994998949279903,11,475906,451262,2652189,1285963,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_baseline_left_edge/mapping.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_baseline_left_edge/mapping_summary.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_baseline_left_edge/mapping_compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/2e9c74d6f36488db/compile_info.json,12.350614020135254,7731388,81,7.7272727272727275,13,12.844771866713174,16,6112904,5.702436823104693,15
H5,4th(new_2),baseline_center_block,factory_center_block,15,3353c8021d3d6330,2122313,2122265,48,28471935,96,43200,15,13.415521179015537,53,10.994996967930744,11,475906,451262,2652189,1285963,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_baseline_center_block/mapping.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_baseline_center_block/mapping_summary.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_baseline_center_block/mapping_compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/3353c8021d3d6330/compile_info.json,12.37919513694942,7732052,90,4.818181818181818,8,6.830088294747282,8,3250480,8.030685920577618,16
H5,4th(new_2),baseline_right_edge,factory_right_edge,15,ef6c5b5ce9ec3401,2122998,2122265,733,29252370,96,43200,15,13.778802429394657,66,10.995002821481696,11,475906,451262,2652189,1285963,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_baseline_right_edge/mapping.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_baseline_right_edge/mapping_summary.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_baseline_right_edge/mapping_compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/ef6c5b5ce9ec3401/compile_info.json,12.465854202862829,7732144,90,6.454545454545454,10,8.375456497711733,13,3985930,7.885018050541516,17
H5,4th(new_2),fast_supply_left_edge,factory_left_edge,8,c0605353f1326f38,2121423,2121243,180,30732556,96,43200,15,14.486764780055651,61,10.99559446654439,11,475906,451262,2652189,1285963,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_fast_supply_left_edge/mapping.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_fast_supply_left_edge/mapping_summary.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_fast_supply_left_edge/mapping_compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/c0605353f1326f38/compile_info.json,12.522805880755186,7731408,81,7.7272727272727275,13,12.844771866713174,16,6112904,5.702436823104693,15
H5,4th(new_2),fast_supply_center_block,factory_center_block,8,c1f302d468584533,2121413,2121243,170,28257330,96,43200,15,13.320051305427091,53,10.995595388545276,11,475906,451262,2652189,1285963,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_fast_supply_center_block/mapping.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_fast_supply_center_block/mapping_summary.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_fast_supply_center_block/mapping_compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/c1f302d468584533/compile_info.json,12.422369658946991,7731560,90,4.818181818181818,8,6.830088294747282,8,3250480,8.030685920577618,16
H5,4th(new_2),fast_supply_right_edge,factory_right_edge,8,86551098122aef7b,2122020,2121243,777,28766040,96,43200,15,13.55597025475726,66,10.995595234729173,11,475906,451262,2652189,1285963,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_fast_supply_right_edge/mapping.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_fast_supply_right_edge/mapping_summary.json,artifacts/surface_code_mapping_diagnostics_h4_h5_4th_new2/H5_fast_supply_right_edge/mapping_compile_info.json,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/86551098122aef7b/compile_info.json,12.40659032203257,7731708,90,6.454545454545454,10,8.375456497711733,13,3985930,7.885018050541516,17
